Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Fraser Forster,186,engENG,GK,Tottenham,37-053,1988,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Gabriel Jesus,258,brBRA,FW,Arsenal,28-036,1997,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3,Matches
Gabriel Magalhães,317,brBRA,DF,Arsenal,27-141,1997,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9,Matches
Gabriel Martinelli,327,brBRA,"FW,MF",Arsenal,23-325,2001,22.7,1,0,0,14,20,8,83,4,15,0,0,0,72,15,30,33.3,Matches
George Edmundson,155,engENG,DF,Ipswich Town,27-251,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
George Hirst,239,sctSCO,FW,Ipswich Town,26-083,1999,5.5,2,0,0,12,10,2,3,2,3,0,0,0,8,30,20,60.0,Matches
Georginio Rutter,441,frFRA,"MF,FW",Brighton,23-019,2002,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2,Matches
Gonçalo Guedes,215,ptPOR,"MF,FW",Wolves,28-161,1996,8.7,1,0,0,14,15,3,17,5,4,0,0,0,34,3,11,21.4,Matches
Guglielmo Vicario,532,itITA,GK,Tottenham,28-214,1996,23.0,1,0,0,0,2,0,0,1,0,0,0,0,32,9,0,100.0,Matches
Guido Rodríguez,437,arARG,MF,West Ham,31-027,1994,11.3,5,0,0,15,11,1,4,12,16,0,0,0,46,8,7,53.3,Matches
Gustavo Nunes,379,brBRA,"FW,MF",Brentford,19-170,2005,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,N/a,Matches
Hamza Choudhury,98,bdBAN,"MF,DF",Leicester City,27-220,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,N/a,Matches
Harrison Armstrong,34,engENG,MF,Everton,18-110,2007,0.5,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0.0,Matches
Harrison Reed,425,engENG,MF,Fulham,30-102,1995,1.2,2,0,0,6,2,0,6,1,3,0,1,0,10,1,2,33.3,Matches
Harry Amass,20,engENG,DF,Manchester Utd,18-054,2007,2.8,0,0,0,2,4,1,6,2,2,0,0,0,17,5,5,50.0,Matches
Harry Clarke,100,engENG,DF,Ipswich Town,24-068,2001,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4,Matches
Harry Maguire,319,engENG,DF,Manchester Utd,32-065,1993,17.1,7,0,0,17,9,1,3,37,13,0,0,0,57,52,22,70.3,Matches
Harry Toffolo,508,engENG,DF,Nott'ham Forest,29-263,1995,1.5,1,0,0,1,0,0,4,2,3,0,0,0,2,1,0,100.0,Matches
Harry Wilson,554,wlsWAL,"FW,MF",Fulham,28-048,1997,11.1,2,0,0,10,20,1,38,5,9,1,0,0,50,4,18,18.2,Matches
Harry Winks,555,engENG,MF,Leicester City,29-096,1996,17.1,4,0,0,9,13,0,34,9,11,0,0,0,106,8,6,57.1,Matches
Harvey Barnes,46,engENG,FW,Newcastle Utd,27-151,1997,16.7,0,0,0,11,20,5,41,6,9,0,0,0,49,5,14,26.3,Matches
Harvey Elliott,161,engENG,"MF,FW",Liverpool,22-035,2003,3.0,1,0,0,0,0,1,10,1,3,0,0,0,10,1,2,33.3,Matches
Hwang Hee-chan,232,krKOR,"MF,FW",Wolves,29-103,1996,7.2,0,0,0,6,8,0,8,2,4,0,0,0,27,3,9,25.0,Matches
Hákon Rafn Valdimarsson,419,isISL,GK,Brentford,23-208,2001,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Ian Maatsen,313,nlNED,DF,Aston Villa,23-060,2002,10.6,2,0,0,9,9,3,48,15,15,0,0,0,61,8,6,57.1,Matches
Ibrahim Sangaré,448,ciCIV,MF,Nott'ham Forest,27-158,1997,4.1,3,0,0,11,5,0,0,3,11,0,0,0,29,6,9,40.0,Matches
Ibrahima Konaté,286,frFRA,DF,Liverpool,25-349,1999,25.8,5,0,0,26,18,0,0,12,25,0,0,0,86,72,28,72.0,Matches
Idrissa Gana Gueye,192,snSEN,MF,Everton,35-225,1989,31.0,8,0,0,51,41,0,7,44,74,0,0,0,180,23,15,60.5,Matches
Igor,246,brBRA,DF,Brighton,27-091,1998,10.0,4,0,0,9,6,0,2,4,4,0,0,0,40,8,6,57.1,Matches
Iliman Ndiaye,370,snSEN,FW,Everton,25-064,2000,25.0,3,0,0,24,47,5,38,17,25,0,0,0,163,6,19,24.0,Matches
Illia Zabarnyi,565,uaUKR,DF,Bournemouth,22-250,2002,31.6,3,1,0,18,6,0,5,38,32,0,0,0,143,72,40,64.3,Matches
Ismaila Sarr,451,snSEN,"MF,FW",Crystal Palace,27-073,1998,27.6,4,0,0,13,54,11,55,9,10,1,0,0,103,32,46,41.0,Matches
Issa Diop,136,frFRA,DF,Fulham,28-120,1997,14.9,2,0,0,10,4,0,1,9,12,0,0,1,45,20,12,62.5,Matches
Jack Clarke,101,engENG,"FW,MF",Ipswich Town,24-167,2000,11.7,2,0,0,15,21,3,13,7,17,0,0,0,67,7,14,33.3,Matches
Jack Grealish,211,engENG,"FW,MF",Manchester City,29-241,1995,8.0,3,0,0,5,25,0,20,2,5,0,0,0,26,1,7,12.5,Matches
Jack Harrison,227,engENG,FW,Everton,28-170,1996,21.1,0,0,0,13,26,4,118,9,21,1,0,0,65,4,26,13.3,Matches
Jack Hinshelwood,238,engENG,"DF,MF",Brighton,20-028,2005,19.4,5,0,0,16,7,0,26,15,18,0,0,0,58,19,15,55.9,Matches
Jack Stephens,484,engENG,DF,Southampton,31-102,1994,13.4,2,2,0,12,4,1,1,11,19,0,1,0,41,6,8,42.9,Matches
Jack Taylor,499,ieIRL,MF,Ipswich Town,26-320,1998,8.5,3,0,0,16,4,0,6,9,10,0,0,0,48,7,7,50.0,Matches
Jacob Greaves,212,engENG,DF,Ipswich Town,24-239,2000,21.5,5,0,0,12,19,1,1,18,19,0,0,0,48,65,38,63.1,Matches
Jacob Murphy,368,engENG,FW,Newcastle Utd,30-074,1995,23.8,3,0,0,11,14,3,110,11,15,1,0,0,92,4,15,21.1,Matches
Jacob Ramsey,421,engENG,"FW,MF",Aston Villa,23-346,2001,16.8,2,0,0,12,25,5,10,7,15,1,0,0,77,6,10,37.5,Matches
Jaden Philogene Bidace,410,engENG,"FW,MF",Aston Villa,23-090,2002,3.7,4,1,1,12,8,1,4,3,5,0,0,0,21,0,5,0.0,Matches
Jadon Sancho,447,engENG,FW,Chelsea,25-045,2000,18.7,2,0,0,6,11,6,23,2,6,2,0,0,97,5,10,33.3,Matches
Jahmai Simpson-Pusey,469,engENG,DF,Manchester City,19-186,2005,1.1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,3,25.0,Matches
Jake Evans,170,N/a,FW,Leicester City,N/a,N/a,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Jake O'Brien,384,ieIRL,DF,Everton,23-359,2001,15.5,5,0,0,13,4,3,18,4,16,0,0,0,51,33,27,55.0,Matches
Jakub Kiwior,284,plPOL,DF,Arsenal,25-083,2000,9.5,0,0,0,8,3,1,1,3,7,0,0,0,19,8,7,53.3,Matches
Jakub Moder,353,plPOL,MF,Brighton,26-032,1999,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,Matches
Jakub Stolarczyk,487,plPOL,GK,Leicester City,24-141,2000,7.0,1,0,0,0,0,0,0,0,1,0,0,0,8,4,0,100.0,Matches
James Bree,67,engENG,DF,Southampton,27-210,1997,9.9,0,0,0,2,4,0,24,8,10,0,0,0,56,12,5,70.6,Matches
James Garner,195,engENG,"MF,DF",Everton,24-057,2001,14.7,3,0,0,18,14,0,52,17,27,0,0,0,64,10,8,55.6,Matches
James Hill,237,engENG,DF,Bournemouth,23-119,2002,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8,Matches
James Justin,269,engENG,DF,Leicester City,27-075,1998,29.7,5,0,0,23,37,2,53,44,29,0,0,0,79,61,48,56.0,Matches
James Maddison,315,engENG,MF,Tottenham,28-167,1996,20.1,6,0,0,32,64,4,98,12,19,0,0,0,76,5,7,41.7,Matches
James Mcatee,336,engENG,"MF,FW",Manchester City,22-203,2002,3.4,1,0,0,5,3,0,5,2,2,0,0,0,8,2,3,40.0,Matches
James Milner,348,engENG,MF,Brighton,39-125,1986,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0,Matches
James Tarkowski,496,engENG,DF,Everton,32-171,1992,32.5,6,0,0,35,28,2,1,41,40,0,1,0,98,102,33,75.6,Matches
James Ward-Prowse,540,engENG,MF,West Ham,30-189,1994,9.0,2,0,0,10,2,0,39,5,10,0,0,0,43,6,4,60.0,Matches
Jamie Vardy,526,engENG,FW,Leicester City,38-118,1987,29.5,5,0,0,22,21,25,11,5,13,2,0,0,35,49,51,49.0,Matches
Jan Bednarek,49,plPOL,DF,Southampton,29-027,1996,27.1,7,0,0,31,12,0,1,54,18,0,1,0,106,68,36,65.4,Matches
Jan Paul van Hecke,231,nlNED,DF,Brighton,24-335,2000,29.9,8,1,1,23,23,0,11,23,26,0,0,0,120,78,48,61.9,Matches
Jannik Vestergaard,531,dkDEN,DF,Leicester City,32-279,1992,15.5,5,0,0,12,4,0,0,16,10,0,0,1,46,26,19,57.8,Matches
Jarell Quansah,418,engENG,DF,Liverpool,22-100,2003,4.5,2,0,0,9,1,0,2,6,8,0,1,1,16,6,10,37.5,Matches
Jarrad Branthwaite,66,engENG,DF,Everton,22-316,2002,26.1,4,0,0,10,17,1,5,23,20,0,0,0,84,53,38,58.2,Matches
Jarrod Bowen,64,engENG,"FW,MF",West Ham,28-140,1996,30.2,1,0,0,19,49,10,101,16,24,0,0,0,120,12,46,20.7,Matches
Jason Steele,483,engENG,GK,Brighton,34-264,1990,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,Matches
Jay Robinson,435,engENG,"MF,FW",Southampton,18-055,2007,0.4,0,0,0,1,1,0,0,0,1,0,0,0,5,0,1,0.0,Matches
Jay Stansfield,482,engENG,MF,Fulham,22-166,2002,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Jayden Danns,120,engENG,MF,Liverpool,19-113,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Jayden Meghoma,343,engENG,DF,Brentford,18-315,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N/a,Matches
Jean-Clair Todibo,507,frFRA,DF,West Ham,25-130,1999,17.4,2,0,0,11,5,0,3,21,24,0,0,0,65,23,24,48.9,Matches
Jean-Philippe Mateta,331,frFRA,FW,Crystal Palace,27-315,1997,28.0,2,0,0,27,26,17,25,2,12,0,0,0,64,60,99,37.7,Matches
Jean-Ricner Bellegarde,51,frFRA,"MF,FW",Wolves,26-316,1998,17.2,3,0,0,29,41,1,40,10,22,0,0,0,57,9,18,33.3,Matches
Jefferson Lerma,300,coCOL,"MF,DF",Crystal Palace,30-196,1994,22.6,8,0,0,34,36,0,11,37,15,0,0,0,139,39,39,50.0,Matches
Jeffrey Schlupp,457,ghGHA,"MF,DF",Crystal Palace,32-137,1992,1.1,0,0,0,1,0,0,4,0,0,0,0,0,6,3,4,42.9,Matches
Jens Cajuste,81,seSWE,MF,Ipswich Town,25-272,1999,19.8,2,0,0,21,21,0,9,25,19,0,0,0,99,12,21,36.4,Matches
Jeremy Doku,142,beBEL,"FW,MF",Manchester City,22-347,2002,15.5,1,0,0,7,31,5,51,4,19,0,0,0,57,0,11,0.0,Matches
Jeremy Monga,354,N/a,"FW,MF",Leicester City,N/a,N/a,0.6,0,0,0,0,1,0,2,0,1,0,0,0,5,0,1,0.0,Matches
Jeremy Sarmiento,450,ecECU,MF,Brighton,22-327,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N/a,Matches
Jesper Lindstrøm,307,dkDEN,FW,Everton,25-069,2000,13.8,2,0,0,15,10,1,71,12,25,0,0,0,70,6,12,33.3,Matches
Joachim Andersen,23,dkDEN,DF,Crystal Palace,28-343,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0,Matches
Joe Aribo,32,ngNGA,"MF,DF",Southampton,28-292,1996,21.2,1,0,0,20,28,1,10,20,30,0,1,0,110,25,21,54.3,Matches
Joe Gomez,206,engENG,DF,Liverpool,27-351,1997,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2,Matches
Joe Lumley,311,engENG,GK,Southampton,30-083,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7,Matches
Joe Willock,552,engENG,"MF,FW",Newcastle Utd,25-262,1999,11.4,3,0,0,22,13,3,16,6,16,0,0,0,40,5,14,26.3,Matches
Joel Ward,539,engENG,DF,Crystal Palace,35-192,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Joelinton,262,brBRA,"MF,FW",Newcastle Utd,28-268,1996,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2,Matches
John McGinn,339,sctSCO,"MF,FW",Aston Villa,30-203,1994,22.8,7,0,0,43,67,3,54,14,22,1,0,0,94,16,11,59.3,Matches
John Stones,488,engENG,"DF,MF",Manchester City,30-346,1994,6.1,1,0,0,2,2,0,0,4,2,0,0,0,22,8,6,57.1,Matches
Jonny Evans,171,nirNIR,DF,Manchester Utd,37-126,1988,3.2,1,0,0,5,6,0,0,4,5,0,0,0,15,8,3,72.7,Matches
Jordan Ayew,40,ghGHA,"FW,MF",Crystal Palace,33-240,1991,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches
Jordan Pickford,412,engENG,GK,Everton,31-063,1994,35.0,7,0,0,0,7,0,0,1,0,0,0,0,31,4,1,80.0,Matches
Jorge Cuenca,114,esESP,DF,Fulham,25-173,1999,2.9,0,0,0,2,2,0,1,2,2,0,0,0,9,6,3,66.7,Matches
Jorginho,267,itITA,MF,Arsenal,33-140,1991,7.8,5,0,0,15,17,0,1,7,4,0,0,0,54,1,6,14.3,Matches
Joshua Acheampong,2,engENG,DF,Chelsea,19-004,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches
Joshua King,282,engENG,"MF,FW",Fulham,18-126,2007,0.9,0,0,0,2,2,0,1,1,3,0,0,0,3,0,0,N/a,Matches
Joshua Zirkzee,567,nlNED,"FW,MF",Manchester Utd,23-352,2001,15.6,2,0,0,9,13,3,4,6,8,1,0,0,57,21,54,28.0,Matches
José Sá,442,ptPOR,GK,Wolves,32-112,1993,27.0,2,0,0,4,8,0,0,0,2,0,4,0,31,9,1,90.0,Matches
Jota Silva,467,ptPOR,"FW,MF",Nott'ham Forest,25-281,1999,9.4,5,0,0,24,23,8,21,12,13,1,0,0,42,21,27,43.8,Matches
João Félix,176,ptPOR,"FW,MF",Chelsea,25-180,1999,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4,Matches
João Gomes,202,brBRA,MF,Wolves,24-086,2001,30.9,10,1,1,67,41,1,27,25,62,0,0,0,178,9,24,27.3,Matches
João Pedro,261,brBRA,"FW,MF",Brighton,23-225,2001,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8,Matches
Joël Veltman,528,nlNED,DF,Brighton,33-114,1992,18.5,4,0,0,27,42,0,23,18,28,0,1,0,68,21,18,53.8,Matches
Joško Gvardiol,222,hrCRO,DF,Manchester City,23-106,2002,33.4,2,0,0,13,23,2,19,38,34,0,0,0,132,48,33,59.3,Matches
Julian Araujo,29,mxMEX,DF,Bournemouth,23-269,2001,4.7,1,0,0,5,1,0,6,6,3,0,0,0,28,2,7,22.2,Matches
Julio Enciso,163,pyPAR,"FW,MF",Ipswich Town,21-106,2004,7.9,3,0,0,8,16,0,15,1,8,0,1,0,39,7,16,30.4,Matches
Julio Soler,477,arARG,FW,Bournemouth,20-082,2005,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,N/a,Matches
Jurriën Timber,506,nlNED,DF,Arsenal,23-326,2001,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4,Matches
Justin Devenny,129,nirNIR,MF,Crystal Palace,21-210,2003,4.8,1,0,0,7,0,1,17,0,9,0,0,0,21,2,13,13.3,Matches
Justin Kluivert,285,nlNED,"MF,FW",Bournemouth,26-004,1999,24.0,8,0,0,42,29,5,80,13,9,1,0,0,73,7,25,21.9,Matches
Jáder Durán,153,coCOL,FW,Aston Villa,21-147,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches
Jørgen Strand Larsen,489,noNOR,FW,Wolves,25-092,2000,27.4,4,0,0,46,18,14,6,5,6,0,0,0,42,66,96,40.7,Matches
Kaelan Casey,87,engENG,DF,West Ham,20-193,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Kai Havertz,229,deGER,"FW,MF",Arsenal,25-332,1999,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9,Matches
Kalvin Phillips,409,engENG,MF,Ipswich Town,29-158,1995,13.7,6,1,1,28,20,0,20,19,19,0,0,0,68,7,22,24.1,Matches
Kamaldeen Sulemana,491,ghGHA,"FW,MF",Southampton,23-083,2002,13.1,2,0,0,19,10,2,25,6,14,0,0,0,52,9,21,30.0,Matches
Kaoru Mitoma,352,jpJPN,"FW,MF",Brighton,27-354,1997,28.0,1,0,0,39,23,5,72,13,26,0,0,0,92,24,27,47.1,Matches
Kasey McAteer,337,ieIRL,"FW,MF",Leicester City,23-168,2001,6.8,2,0,0,15,14,2,16,3,11,0,0,0,33,10,16,38.5,Matches
Keane Lewis-Potter,302,engENG,"DF,FW",Brentford,24-076,2001,31.5,6,0,0,16,29,4,71,19,26,1,0,0,136,26,34,43.3,Matches
Kenny Tete,501,nlNED,DF,Fulham,29-212,1995,16.7,4,0,0,28,14,1,29,29,34,0,0,0,65,18,12,60.0,Matches
Kepa Arrizabalaga,35,esESP,GK,Bournemouth,30-218,1994,28.0,3,0,0,2,5,0,0,0,0,0,2,0,52,7,1,87.5,Matches
Kevin Danso,121,atAUT,DF,Tottenham,26-232,1998,6.4,0,0,0,7,9,0,1,3,5,0,0,0,22,18,9,66.7,Matches
Kevin De Bruyne,125,beBEL,"MF,FW",Manchester City,33-315,1991,17.1,2,0,0,16,16,5,122,7,9,0,0,0,56,4,15,21.1,Matches
Kevin Schade,455,deGER,FW,Brentford,23-163,2001,23.0,3,0,0,20,33,13,36,5,23,0,0,0,78,81,65,55.5,Matches
Kieran Tierney,505,sctSCO,"DF,FW",Arsenal,27-338,1997,2.0,0,0,0,0,2,2,10,2,4,0,0,0,3,3,5,37.5,Matches
Kieran Trippier,517,engENG,DF,Newcastle Utd,34-232,1990,14.2,1,0,0,16,11,2,79,12,20,0,0,0,65,21,15,58.3,Matches
Kiernan Dewsbury-Hall,130,engENG,"MF,FW",Chelsea,26-245,1998,2.9,0,0,0,4,6,0,2,1,5,0,0,0,9,0,1,0.0,Matches
Kim Jisoo,260,krKOR,DF,Brentford,20-136,2004,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Kobbie Mainoo,320,engENG,MF,Manchester Utd,20-020,2005,16.7,5,0,0,27,19,2,5,19,25,0,0,0,79,19,27,41.3,Matches
Konstantinos Mavropanos,333,grGRE,DF,West Ham,27-149,1997,21.6,6,1,1,17,14,3,2,38,22,0,0,0,68,56,24,70.0,Matches
Kosta Nedeljković,372,rsSRB,DF,Aston Villa,19-144,2005,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0,Matches
Kostas Tsimikas,519,grGRE,DF,Liverpool,28-362,1996,8.3,2,0,0,9,6,1,61,10,18,0,0,0,27,5,6,45.5,Matches
Kristoffer Ajer,10,noNOR,DF,Brentford,27-022,1998,15.6,5,0,0,12,6,1,14,12,17,0,0,0,42,27,22,55.1,Matches
Kyle Walker,534,engENG,DF,Manchester City,34-346,1990,10.8,3,0,0,6,5,1,14,3,10,0,0,0,46,9,7,56.3,Matches
Kyle Walker-Peters,535,engENG,DF,Southampton,28-026,1997,32.4,5,0,0,28,52,2,51,19,29,0,0,0,135,11,21,34.4,Matches
Lamare Bogarde,61,nlNED,"DF,MF",Aston Villa,21-124,2004,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches
Leandro Trossard,518,beBEL,FW,Arsenal,30-156,1994,26.2,4,1,1,25,43,6,79,9,17,0,0,0,93,6,22,21.4,Matches
Leif Davis,123,engENG,DF,Ipswich Town,25-117,2000,28.5,5,1,0,25,30,3,148,25,26,0,2,0,111,33,22,60.0,Matches
Leny Yoro,563,frFRA,DF,Manchester Utd,19-177,2005,12.4,5,0,0,9,2,1,1,18,11,0,0,0,45,16,15,51.6,Matches
Leon Bailey,43,jmJAM,"FW,MF",Aston Villa,27-273,1997,12.6,3,0,0,12,18,3,34,3,4,1,0,0,59,6,9,40.0,Matches
Lesley Ugochukwu,523,frFRA,MF,Southampton,21-044,2004,16.9,6,0,0,28,14,0,6,14,24,0,1,0,62,20,17,54.1,Matches
Levi Colwill,107,engENG,DF,Chelsea,22-072,2003,32.0,8,0,0,42,19,4,13,32,30,0,1,0,110,76,51,59.8,Matches
Lewis Cook,108,engENG,"MF,DF",Bournemouth,28-095,1997,31.3,8,0,0,46,10,3,127,40,42,0,1,0,182,40,34,54.1,Matches
Lewis Dunk,152,engENG,DF,Brighton,33-169,1991,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2,Matches
Lewis Hall,224,engENG,DF,Newcastle Utd,20-243,2004,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2,Matches
Lewis Miley,347,engENG,MF,Newcastle Utd,19-008,2006,2.8,0,0,0,3,1,0,0,2,9,0,0,0,16,5,5,50.0,Matches
Lewis Orford,396,engENG,MF,West Ham,19-080,2006,0.5,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0.0,Matches
Liam Delap,127,engENG,FW,Ipswich Town,22-090,2003,27.7,10,0,0,67,50,13,5,2,7,2,0,0,66,53,69,43.4,Matches
Lisandro Martínez,329,arARG,DF,Manchester Utd,27-111,1998,19.5,7,0,0,22,7,0,9,32,24,0,0,0,81,16,13,55.2,Matches
Lloyd Kelly,277,engENG,DF,Newcastle Utd,26-215,1998,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0,Matches
Lucas Bergvall,55,seSWE,MF,Tottenham,19-096,2006,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9,Matches
Lucas Digne,135,frFRA,DF,Aston Villa,31-293,1993,25.1,4,0,0,20,14,7,138,25,37,0,0,0,100,35,27,56.5,Matches
Lucas Paquetá,404,brBRA,"MF,FW",West Ham,27-255,1997,26.0,9,0,0,52,62,6,28,17,37,0,1,0,146,48,57,45.7,Matches
Luis Díaz,133,coCOL,FW,Liverpool,28-116,1997,24.7,2,0,0,48,30,10,30,7,21,2,0,0,98,12,33,26.7,Matches
Luis Guilherme,217,brBRA,"MF,FW",West Ham,19-089,2006,1.5,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7,Matches
Luis Sinisterra,470,coCOL,"FW,MF",Bournemouth,25-326,1999,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0,Matches
Luke Shaw,464,engENG,DF,Manchester Utd,29-301,1995,2.4,1,0,0,2,0,0,9,2,3,0,0,1,9,3,2,60.0,Matches
Luke Thomas,503,engENG,DF,Leicester City,23-333,2001,9.7,1,0,0,6,6,0,23,18,20,0,1,0,36,11,11,50.0,Matches
Luke Woolfenden,560,engENG,DF,Ipswich Town,26-200,1998,13.2,2,0,0,5,2,1,0,19,6,0,0,0,38,15,15,50.0,Matches
Mads Hermansen,235,dkDEN,GK,Leicester City,24-302,2000,26.5,1,0,0,0,3,0,0,0,1,0,0,0,17,4,1,80.0,Matches
Mads Roerslev,438,dkDEN,DF,Brentford,25-319,1999,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7,Matches
Malo Gusto,221,frFRA,DF,Chelsea,21-355,2003,20.4,4,0,0,20,19,2,51,23,28,0,0,0,116,8,15,34.8,Matches
Manuel Akanji,11,chSUI,DF,Manchester City,29-294,1995,19.4,3,0,0,16,9,0,11,7,11,0,0,0,89,26,29,47.3,Matches
Manuel Ugarte Ribeiro,522,uyURU,MF,Manchester Utd,24-028,2001,19.0,10,0,0,38,33,0,7,26,46,0,0,1,117,17,18,48.6,Matches
Marc Cucurella,113,esESP,DF,Chelsea,26-291,1998,30.2,10,1,1,34,33,3,29,25,39,0,0,0,119,30,51,37.0,Matches
Marc Guiu,219,esESP,FW,Chelsea,19-125,2006,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
Marc Guéhi,216,engENG,DF,Crystal Palace,24-300,2000,33.0,9,1,1,23,26,1,13,25,31,0,0,3,137,68,57,54.4,Matches
Marco Asensio,36,esESP,"MF,FW",Aston Villa,29-108,1996,6.0,1,0,0,8,7,2,23,1,5,0,0,0,22,0,1,0.0,Matches
Marcos Senesi,462,arARG,DF,Bournemouth,27-364,1997,11.3,5,0,0,19,7,0,10,11,21,0,0,0,67,23,27,46.0,Matches
Marcus Harness,226,engENG,MF,Ipswich Town,29-074,1996,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,N/a,Matches
Marcus Rashford,422,engENG,"FW,MF",Manchester Utd,27-190,1997,10.9,2,0,0,8,7,7,27,4,4,0,0,0,24,5,7,41.7,Matches
Marcus Tavernier,497,engENG,"FW,MF",Bournemouth,26-048,1999,18.6,5,0,0,28,23,4,91,5,24,0,0,0,101,25,31,44.6,Matches
Mario Lemina,298,gaGAB,"MF,DF",Wolves,31-250,1993,15.2,4,0,0,17,8,4,10,27,31,0,1,0,73,25,16,61.0,Matches
Mark Flekken,182,nlNED,GK,Brentford,31-330,1993,33.4,1,0,0,0,3,0,0,0,4,0,0,0,37,4,0,100.0,Matches
Mark Travers,515,ieIRL,GK,Bournemouth,25-356,1999,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,Matches
Marshall Munetsi,363,zwZIM,"MF,FW",Wolves,28-321,1996,9.8,0,0,0,15,10,3,6,6,10,0,0,0,31,24,18,57.1,Matches
Martial Godo,200,engENG,FW,Fulham,22-056,2003,0.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,Matches
Martin Dúbravka,151,skSVK,GK,Newcastle Utd,36-114,1989,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,Matches
Martin Ødegaard,568,noNOR,MF,Arsenal,26-143,1998,23.7,4,0,0,10,23,1,81,4,11,0,0,0,91,8,7,53.3,Matches
Mason Holgate,240,engENG,"FW,DF",Everton,28-199,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Mason Mount,360,engENG,"MF,FW",Manchester Utd,26-119,1999,4.8,3,0,0,14,7,0,9,3,4,0,0,0,15,4,6,40.0,Matches
Massimo Luongo,312,auAUS,MF,Ipswich Town,32-226,1992,2.2,0,0,0,1,2,0,1,2,5,0,0,0,10,1,0,100.0,Matches
Mateo Kovačić,288,hrCRO,MF,Manchester City,31-003,1994,22.8,5,0,0,23,23,0,0,20,38,0,0,0,110,9,8,52.9,Matches
