Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Arijanet Muric,366,xkKVX,GK,Ipswich Town,26-183,1998,18.0,1,0,0,0,4,0,0,0,0,0,0,0,26,11,1,91.7,Matches
Armando Broja,70,alALB,FW,Everton,23-241,2001,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-149,2001,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-223,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches
Ashley Young,564,engENG,"DF,FW",Everton,39-304,1985,18.0,6,1,0,25,18,0,66,23,29,0,0,0,61,10,11,47.6,Matches
Axel Disasi,137,frFRA,DF,Aston Villa,27-059,1998,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,Matches
Axel Tuanzebe,520,cdCOD,DF,Ipswich Town,27-176,1997,16.1,5,1,1,13,11,0,6,21,17,0,0,1,43,16,16,50.0,Matches
Ayden Heaven,230,engENG,DF,Manchester Utd,18-229,2006,1.1,0,0,0,2,3,0,0,1,3,0,0,0,4,1,2,33.3,Matches
Bart Verbruggen,530,nlNED,GK,Brighton,22-264,2002,33.0,5,0,0,0,2,0,0,0,0,0,0,0,58,10,1,90.9,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-021,1999,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-139,1996,1.5,1,0,0,2,2,2,3,4,4,0,0,0,12,3,3,50.0,Matches
Ben Davies,122,wlsWAL,DF,Tottenham,32-015,1993,12.5,4,0,0,14,6,0,4,12,10,0,0,0,36,47,38,55.3,Matches
Ben Godfrey,199,engENG,DF,Ipswich Town,27-114,1998,1.8,1,0,0,1,0,0,0,2,0,0,0,0,2,3,0,100.0,Matches
Ben Johnson,263,engENG,"DF,FW",Ipswich Town,25-105,2000,15.0,5,1,1,27,6,1,37,13,22,0,0,0,57,19,18,51.4,Matches
Ben Mee,342,engENG,DF,Brentford,35-230,1989,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0,Matches
Ben White,548,engENG,DF,Arsenal,27-213,1997,10.5,2,0,0,8,4,1,10,15,9,0,0,0,26,15,5,75.0,Matches
Ben Winterburn,556,engENG,"FW,MF",Bournemouth,20-247,2004,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0,Matches
Benoît Badiashile,42,frFRA,DF,Chelsea,24-044,2001,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0,Matches
Bernardo Silva,466,ptPOR,"MF,FW",Manchester City,30-272,1994,26.7,7,0,0,26,29,3,54,20,34,0,0,0,93,5,10,33.3,Matches
Bernd Leno,299,deGER,GK,Fulham,33-066,1992,35.0,4,0,0,0,3,0,0,0,2,0,0,0,48,9,0,100.0,Matches
Beto,57,gwGNB,FW,Everton,27-098,1998,14.1,2,0,0,30,18,14,3,3,6,0,0,0,30,78,92,45.9,Matches
Bilal El Khannouss,279,maMAR,MF,Leicester City,20-364,2004,22.3,4,0,0,28,11,1,83,6,26,0,0,0,84,19,20,48.7,Matches
Billy Gilmour,198,sctSCO,MF,Brighton,23-332,2001,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,N/a,Matches
Bobby De Cordova-Reid,126,jmJAM,FW,Leicester City,32-096,1993,8.3,2,0,0,9,9,4,15,0,4,1,0,0,29,6,14,30.0,Matches
Boubacar Kamara,273,frFRA,MF,Aston Villa,25-167,1999,16.3,2,0,0,25,28,0,1,17,20,0,0,0,73,17,23,42.5,Matches
Boubacar Traoré,514,mlMLI,MF,Wolves,23-262,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Boubakary Soumaré,480,frFRA,MF,Leicester City,26-071,1999,21.8,8,0,0,21,21,0,8,24,18,0,0,0,130,20,9,69.0,Matches
Brajan Gruda,213,deGER,"FW,MF",Brighton,20-343,2004,5.6,0,0,0,6,9,1,18,2,6,0,0,0,19,3,4,42.9,Matches
Brandon Austin,37,engENG,GK,Tottenham,26-121,1999,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0,Matches
Brennan Johnson,264,wlsWAL,FW,Tottenham,23-351,2001,23.1,5,0,0,26,25,12,52,4,26,2,0,0,60,7,20,25.9,Matches
Bruno Fernandes,179,ptPOR,MF,Manchester Utd,30-243,1994,30.6,4,2,1,26,37,2,172,25,47,0,0,0,192,21,28,42.9,Matches
Bruno Guimarães,218,brBRA,MF,Newcastle Utd,27-174,1997,33.4,6,0,0,57,100,2,25,27,43,0,0,0,167,18,17,51.4,Matches
Bryan Mbeumo,335,cmCMR,FW,Brentford,25-275,1999,34.9,3,0,0,23,43,11,182,14,29,0,0,0,143,34,69,33.0,Matches
Bukayo Saka,443,engENG,"FW,MF",Arsenal,23-246,2001,17.1,3,0,0,14,38,5,110,3,13,1,0,0,65,8,19,29.6,Matches
Caleb Kporha,289,engENG,DF,Crystal Palace,18-298,2006,0.1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0,Matches
Caleb Okoli,390,itITA,DF,Leicester City,23-300,2001,12.5,4,0,0,16,9,0,1,15,14,0,0,0,44,23,21,52.3,Matches
Callum Hudson-Odoi,241,engENG,"FW,MF",Nott'ham Forest,24-183,2000,23.9,2,0,0,12,22,8,75,13,14,1,0,0,91,3,10,23.1,Matches
Callum Wilson,553,engENG,FW,Newcastle Utd,33-071,1992,3.2,1,0,0,3,1,3,2,1,2,0,0,0,10,2,14,12.5,Matches
Calvin Bassey,47,ngNGA,DF,Fulham,25-129,1999,32.2,7,0,0,26,31,2,7,18,33,0,0,0,156,40,31,56.3,Matches
Cameron Archer,30,engENG,FW,Southampton,23-292,2001,15.3,0,0,0,16,12,7,3,2,7,0,0,0,34,8,28,22.2,Matches
Cameron Burgess,75,auAUS,DF,Ipswich Town,29-200,1995,16.1,0,0,0,5,4,1,0,14,10,0,0,0,40,43,22,66.2,Matches
Caoimhín Kelleher,276,ieIRL,GK,Liverpool,26-167,1998,10.0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,100.0,Matches
Carlos Alcaraz,13,arARG,MF,Southampton,22-160,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches
Carlos Baleba,44,cmCMR,MF,Brighton,21-126,2004,26.7,8,1,1,38,44,0,8,40,41,0,2,0,176,38,24,61.3,Matches
Carlos Forbs,185,ptPOR,"MF,FW",Wolves,21-051,2004,2.7,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0,Matches
Carlos Soler,476,esESP,"MF,FW",West Ham,28-127,1997,15.1,5,0,0,24,18,0,31,8,11,0,0,0,64,9,11,45.0,Matches
Carlos Vinícius,533,brBRA,"MF,FW",Fulham,30-045,1995,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Casemiro,86,brBRA,MF,Manchester Utd,33-075,1992,14.8,3,0,0,17,18,3,19,12,46,0,0,0,89,31,17,64.6,Matches
Chadi Riad,429,maMAR,DF,Crystal Palace,21-326,2003,1.0,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3,Matches
Charlie Taylor,498,engENG,DF,Southampton,31-233,1993,3.0,1,0,0,2,2,0,9,3,5,0,0,0,7,4,2,66.7,Matches
Cheick Doucouré,147,mlMLI,MF,Crystal Palace,25-121,2000,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0,Matches
Chidozie Obi-Martin,387,dkDEN,FW,Manchester Utd,17-161,2007,1.7,1,0,0,3,1,0,0,0,1,0,0,0,9,1,4,20.0,Matches
Chiedozie Ogbene,389,ieIRL,FW,Ipswich Town,28-008,1997,2.6,0,0,0,2,7,1,4,1,3,0,0,0,6,1,6,14.3,Matches
Chiquinho,97,ptPOR,MF,Wolves,25-093,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,N/a,Matches
Chris Richards,431,usUSA,DF,Crystal Palace,25-042,2000,18.4,4,1,1,11,4,1,3,15,28,1,0,0,49,38,38,50.0,Matches
Chris Wood,558,nzNZL,FW,Nott'ham Forest,33-153,1991,29.9,1,0,0,24,21,26,1,5,4,0,0,0,44,88,129,40.6,Matches
Christian Eriksen,166,dkDEN,MF,Manchester Utd,33-084,1992,11.4,4,0,0,8,3,0,78,7,9,0,0,0,59,2,6,25.0,Matches
Christian Nørgaard,383,dkDEN,MF,Brentford,31-060,1994,28.3,6,1,0,41,28,1,15,45,45,0,0,0,179,44,29,60.3,Matches
Christian Walton,536,engENG,GK,Ipswich Town,29-181,1995,6.0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,100.0,Matches
Christopher Nkunku,378,frFRA,FW,Chelsea,27-176,1997,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1,Matches
Cody Gakpo,191,nlNED,FW,Liverpool,26-002,1999,19.1,5,0,0,17,25,5,68,11,14,1,0,0,66,15,24,38.5,Matches
Cole Palmer,402,engENG,MF,Chelsea,23-003,2002,32.5,6,0,0,13,57,6,134,11,17,1,0,0,100,1,7,12.5,Matches
Conor Bradley,65,nirNIR,DF,Liverpool,21-304,2003,6.3,3,0,0,9,10,0,6,3,8,0,0,0,36,7,7,50.0,Matches
Conor Chaplin,93,engENG,"MF,FW",Ipswich Town,28-082,1997,7.9,2,0,0,11,6,0,9,3,5,0,0,0,25,2,9,18.2,Matches
Conor Coady,103,engENG,DF,Leicester City,32-073,1993,16.0,2,0,0,7,2,1,0,13,8,0,2,0,50,13,19,40.6,Matches
Conor Townsend,512,engENG,DF,Ipswich Town,32-066,1993,3.7,1,0,0,2,4,0,12,4,8,0,0,0,8,6,4,60.0,Matches
Craig Dawson,124,engENG,DF,Wolves,35-003,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6,Matches
Cristian Romero,440,arARG,DF,Tottenham,27-012,1998,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3,Matches
Crysencio Summerville,492,nlNED,"FW,MF",West Ham,23-191,2001,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8,Matches
Curtis Jones,266,engENG,"MF,DF",Liverpool,24-099,2001,17.0,3,1,1,17,24,1,6,6,20,1,0,0,86,13,12,52.0,Matches
Daichi Kamada,272,jpJPN,MF,Crystal Palace,28-277,1996,15.8,4,1,0,27,19,2,29,16,27,0,0,0,72,3,13,18.8,Matches
Dan Burn,76,engENG,DF,Newcastle Utd,33-000,1992,34.0,10,0,0,30,11,5,3,25,19,0,0,2,95,134,65,67.3,Matches
Dane Scarlett,454,engENG,"FW,MF",Tottenham,21-046,2004,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0,Matches
Dango Ouattara,399,bfBFA,FW,Bournemouth,23-087,2002,22.3,3,0,0,16,19,14,88,11,26,0,0,0,92,45,63,41.7,Matches
Daniel Bentley,53,engENG,GK,Wolves,31-300,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
Daniel Jebbison,256,engENG,FW,Bournemouth,21-269,2003,0.9,1,0,0,2,2,0,1,1,2,0,0,0,8,2,9,18.2,Matches
Daniel Muñoz,365,coCOL,DF,Crystal Palace,28-348,1996,32.9,10,0,0,49,19,13,68,40,74,0,0,0,155,58,75,43.6,Matches
Daniel Podence,414,ptPOR,"MF,FW",Wolves,29-200,1995,0.5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0.0,Matches
Danilo,119,brBRA,"MF,FW",Nott'ham Forest,24-010,2001,3.0,0,0,0,1,0,0,3,3,3,0,0,0,18,1,1,50.0,Matches
Danny Ings,247,engENG,"FW,MF",West Ham,32-290,1992,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4,Matches
Danny Ward,538,wlsWAL,GK,Leicester City,31-321,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N/a,Matches
Danny Welbeck,544,engENG,FW,Brighton,34-164,1990,21.6,5,0,0,11,22,4,3,5,14,0,0,0,40,15,29,34.1,Matches
Dara O'Shea,386,ieIRL,DF,Ipswich Town,26-066,1999,31.7,6,0,0,18,22,3,7,31,30,0,0,0,101,103,79,56.6,Matches
Darwin Núñez,381,uyURU,FW,Liverpool,25-319,1999,11.7,8,0,0,27,14,11,2,3,16,1,0,0,39,17,30,36.2,Matches
David Brooks,71,wlsWAL,"FW,MF",Bournemouth,27-305,1997,9.2,3,0,0,8,15,0,44,5,4,0,0,0,44,7,10,41.2,Matches
David Raya,424,esESP,GK,Arsenal,29-236,1995,35.0,2,0,0,1,9,0,0,2,0,0,1,0,38,10,0,100.0,Matches
Dean Henderson,233,engENG,GK,Crystal Palace,28-058,1997,35.0,3,0,0,0,1,0,0,0,1,0,0,0,25,11,1,91.7,Matches
Dean Huijsen,243,esESP,DF,Bournemouth,20-025,2005,24.8,8,0,0,29,10,2,12,49,23,0,0,0,96,64,41,61.0,Matches
Declan Rice,430,engENG,MF,Arsenal,26-115,1999,29.4,7,1,1,20,16,2,157,25,24,0,0,0,143,31,24,56.4,Matches
Dejan Kulusevski,292,seSWE,"MF,FW",Tottenham,25-014,2000,26.3,3,0,0,47,38,5,89,13,23,0,0,0,119,10,15,40.0,Matches
Destiny Udogie,521,itITA,DF,Tottenham,22-162,2002,20.4,2,0,0,29,38,2,19,21,47,0,0,1,109,13,13,50.0,Matches
Diego Carlos,84,brBRA,DF,Aston Villa,32-055,1993,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches
Diego Gómez,205,pyPAR,MF,Brighton,22-043,2003,4.9,0,0,0,7,2,1,9,7,10,0,0,0,30,8,4,66.7,Matches
Diogo Dalot,117,ptPOR,DF,Manchester Utd,26-052,1999,31.0,5,0,0,40,9,4,65,37,39,0,1,0,164,38,21,64.4,Matches
Diogo Jota,268,ptPOR,FW,Liverpool,28-156,1996,12.8,2,0,0,22,14,1,8,7,8,1,0,0,40,22,30,42.3,Matches
Divin Mubama,361,engENG,FW,Manchester City,20-196,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Djed Spence,481,engENG,DF,Tottenham,24-273,2000,17.8,4,1,1,20,23,2,25,18,30,0,0,1,101,20,13,60.6,Matches
Dominic Calvert-Lewin,83,engENG,FW,Everton,28-054,1997,17.6,2,0,0,27,23,27,6,6,7,0,0,0,32,84,80,51.2,Matches
Dominic Solanke,475,engENG,FW,Tottenham,27-237,1997,23.5,0,0,0,36,36,5,4,0,11,0,0,1,37,44,59,42.7,Matches
Dominik Szoboszlai,494,huHUN,MF,Liverpool,24-196,2000,25.3,6,0,0,37,23,4,34,9,20,0,0,0,122,18,22,45.0,Matches
Donyell Malen,322,nlNED,FW,Aston Villa,26-120,1999,3.3,0,0,0,1,4,2,7,0,4,0,0,0,8,4,4,50.0,Matches
Dwight McNeil,340,engENG,"MF,FW",Everton,25-168,1999,14.0,1,0,0,6,14,1,97,5,6,0,0,0,71,3,15,16.7,Matches
Eberechi Eze,172,engENG,"MF,FW",Crystal Palace,26-314,1998,27.0,1,0,0,11,49,9,103,11,22,0,0,0,133,7,37,15.9,Matches
Eddie Nketiah,377,engENG,"FW,MF",Crystal Palace,25-344,1999,9.9,6,1,1,26,24,4,5,2,6,1,0,0,22,18,32,36.0,Matches
Ederson,154,brBRA,GK,Manchester City,31-265,1993,22.8,3,0,0,1,0,0,0,1,0,0,1,0,38,4,1,80.0,Matches
Edmond-Paris Maghoma,318,engENG,"MF,FW",Brentford,24-001,2001,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0,Matches
Edson Álvarez,18,mxMEX,MF,West Ham,27-197,1997,18.1,8,1,1,37,18,4,6,16,23,0,0,0,78,28,20,58.3,Matches
Eiran Cashin,89,ieIRL,DF,Brighton,23-181,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7,Matches
Elliot Anderson,25,engENG,MF,Nott'ham Forest,22-184,2002,27.4,7,0,0,43,55,4,78,30,52,0,0,0,197,47,23,67.1,Matches
Emerson Palmieri,403,itITA,DF,West Ham,30-279,1994,23.4,5,0,0,25,13,0,64,21,31,0,0,0,84,18,20,47.4,Matches
Emi Buendía,72,arARG,"MF,FW",Aston Villa,28-135,1996,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches
Emil Krafth,290,seSWE,DF,Newcastle Utd,30-280,1994,3.2,0,0,0,3,1,0,1,2,2,0,0,0,17,5,7,41.7,Matches
Emile Smith Rowe,474,engENG,MF,Fulham,24-285,2000,21.0,2,0,0,18,12,4,13,11,18,0,0,0,69,6,17,26.1,Matches
