Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Dean Henderson,233,engENG,GK,Crystal Palace,28-058,1997,35,35,"3,150",35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Dean Huijsen,243,esESP,DF,Bournemouth,20-025,2005,29,24,"2,234",24.8,3,1,4,3,0,0,8,0,1.9,1.9,2.0,3.8,36,116,10,0.12,0.04,0.16,0.12,0.16,0.08,0.08,0.15,0.08,0.15,Matches
Declan Rice,430,engENG,MF,Arsenal,26-115,1999,33,31,"2,645",29.4,3,7,10,3,0,0,7,1,3.3,3.3,6.5,9.7,88,180,92,0.10,0.24,0.34,0.10,0.34,0.11,0.22,0.33,0.11,0.33,Matches
Dejan Kulusevski,292,seSWE,"MF,FW",Tottenham,25-014,2000,31,26,"2,371",26.3,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,123,210,0.27,0.15,0.42,0.27,0.42,0.16,0.24,0.39,0.16,0.39,Matches
Destiny Udogie,521,itITA,DF,Tottenham,22-162,2002,24,23,"1,834",20.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,120,93,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.09,0.01,0.09,Matches
Diego Carlos,84,brBRA,DF,Aston Villa,32-055,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Diego Gómez,205,pyPAR,MF,Brighton,22-043,2003,13,4,441,4.9,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,5,20,14,0.00,0.00,0.00,0.00,0.00,0.15,0.10,0.25,0.15,0.25,Matches
Diogo Dalot,117,ptPOR,DF,Manchester Utd,26-052,1999,32,31,"2,788",31.0,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.0,62,102,164,0.00,0.10,0.10,0.00,0.10,0.06,0.07,0.13,0.06,0.13,Matches
Diogo Jota,268,ptPOR,FW,Liverpool,28-156,1996,24,14,"1,154",12.8,6,3,9,6,0,0,2,0,7.5,7.5,1.8,9.3,36,33,86,0.47,0.23,0.70,0.47,0.70,0.59,0.14,0.73,0.59,0.73,Matches
Divin Mubama,361,engENG,FW,Manchester City,20-196,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
