Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Jack Stephens,484,engENG,DF,Southampton,31-102,1994,17,15,"1,209",13.4,1,0,1,1,0,0,2,2,0.6,0.6,0.2,0.7,13,53,2,0.07,0.00,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Matches
Jack Taylor,499,ieIRL,MF,Ipswich Town,26-320,1998,29,3,766,8.5,1,0,1,1,0,0,3,0,0.7,0.7,0.5,1.2,11,41,21,0.12,0.00,0.12,0.12,0.12,0.08,0.06,0.15,0.08,0.15,Matches
Jacob Greaves,212,engENG,DF,Ipswich Town,24-239,2000,22,22,"1,935",21.5,1,0,1,1,0,0,5,0,1.2,1.2,0.0,1.3,7,53,8,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.06,0.06,0.06,Matches
Jacob Murphy,368,engENG,FW,Newcastle Utd,30-074,1995,32,28,"2,139",23.8,8,11,19,8,0,0,3,0,5.7,5.7,8.1,13.8,70,67,216,0.34,0.46,0.80,0.34,0.80,0.24,0.34,0.58,0.24,0.58,Matches
Jacob Ramsey,421,engENG,"FW,MF",Aston Villa,23-346,2001,27,18,"1,516",16.8,1,3,4,1,0,0,2,0,1.5,1.5,2.3,3.7,57,67,105,0.06,0.18,0.24,0.06,0.24,0.09,0.13,0.22,0.09,0.22,Matches
Jaden Philogene Bidace,410,engENG,"FW,MF",Aston Villa,23-090,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20,Matches
Jadon Sancho,447,engENG,FW,Chelsea,25-045,2000,29,18,"1,687",18.7,3,4,7,3,0,0,2,0,2.2,2.2,3.6,5.8,98,87,218,0.16,0.21,0.37,0.16,0.37,0.12,0.19,0.31,0.12,0.31,Matches
Jahmai Simpson-Pusey,469,engENG,DF,Manchester City,19-186,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jake Evans,170,N/a,FW,Leicester City,N/a,N/a,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jake O'Brien,384,ieIRL,DF,Everton,23-359,2001,18,15,"1,391",15.5,2,0,2,2,0,0,5,0,0.7,0.7,0.6,1.3,7,43,24,0.13,0.00,0.13,0.13,0.13,0.05,0.04,0.08,0.05,0.08,Matches
Jakub Kiwior,284,plPOL,DF,Arsenal,25-083,2000,14,7,852,9.5,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.4,5,36,0,0.11,0.00,0.11,0.11,0.11,0.02,0.03,0.05,0.02,0.05,Matches
Jakub Moder,353,plPOL,MF,Brighton,26-032,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,0.00,1.45,Matches
Jakub Stolarczyk,487,plPOL,GK,Leicester City,24-141,2000,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
James Bree,67,engENG,DF,Southampton,27-210,1997,15,11,895,9.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,10,31,34,0.00,0.10,0.10,0.00,0.10,0.01,0.09,0.10,0.01,0.10,Matches
James Garner,195,engENG,"MF,DF",Everton,24-057,2001,18,14,"1,324",14.7,0,1,1,0,0,0,3,0,0.3,0.3,1.3,1.6,12,46,22,0.00,0.07,0.07,0.00,0.07,0.02,0.09,0.11,0.02,0.11,Matches
James Hill,237,engENG,DF,Bournemouth,23-119,2002,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.00,0.20,0.20,0.00,0.20,0.06,0.05,0.11,0.06,0.11,Matches
James Justin,269,engENG,DF,Leicester City,27-075,1998,33,31,"2,669",29.7,2,1,3,2,0,0,5,0,1.5,1.5,0.6,2.1,39,87,92,0.07,0.03,0.10,0.07,0.10,0.05,0.02,0.07,0.05,0.07,Matches
James Maddison,315,engENG,MF,Tottenham,28-167,1996,31,21,"1,809",20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.45,0.35,0.80,0.45,0.80,0.29,0.21,0.50,0.29,0.50,Matches
James Mcatee,336,engENG,"MF,FW",Manchester City,22-203,2002,14,2,304,3.4,3,0,3,3,0,0,1,0,2.8,2.8,0.3,3.1,7,6,26,0.89,0.00,0.89,0.89,0.89,0.83,0.10,0.93,0.83,0.93,Matches
James Milner,348,engENG,MF,Brighton,39-125,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches
James Tarkowski,496,engENG,DF,Everton,32-171,1992,33,33,"2,922",32.5,1,1,2,1,0,0,6,0,1.3,1.3,2.9,4.2,9,75,3,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,Matches
James Ward-Prowse,540,engENG,MF,West Ham,30-189,1994,12,9,813,9.0,0,1,1,0,0,0,2,0,0.6,0.6,1.3,1.9,9,47,4,0.00,0.11,0.11,0.00,0.11,0.07,0.14,0.21,0.07,0.21,Matches
Jamie Vardy,526,engENG,FW,Leicester City,38-118,1987,33,33,"2,655",29.5,8,3,11,7,1,2,5,0,10.7,9.1,2.9,12.0,27,20,110,0.27,0.10,0.37,0.24,0.34,0.36,0.10,0.46,0.31,0.41,Matches
Jan Bednarek,49,plPOL,DF,Southampton,29-027,1996,29,29,"2,441",27.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,59,2,0.07,0.00,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches
Jan Paul van Hecke,231,nlNED,DF,Brighton,24-335,2000,31,30,"2,688",29.9,1,1,2,1,0,0,8,1,1.3,1.3,1.5,2.7,53,216,5,0.03,0.03,0.07,0.03,0.07,0.04,0.05,0.09,0.04,0.09,Matches
Jannik Vestergaard,531,dkDEN,DF,Leicester City,32-279,1992,18,16,"1,391",15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
Jarell Quansah,418,engENG,DF,Liverpool,22-100,2003,12,3,405,4.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,2,16,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Jarrad Branthwaite,66,engENG,DF,Everton,22-316,2002,28,26,"2,348",26.1,0,1,1,0,0,0,4,0,1.1,1.1,0.7,1.8,9,61,2,0.00,0.04,0.04,0.00,0.04,0.04,0.03,0.07,0.04,0.07,Matches
Jarrod Bowen,64,engENG,"FW,MF",West Ham,28-140,1996,31,31,"2,721",30.2,10,7,17,9,1,1,1,0,8.0,7.3,6.3,13.6,98,86,188,0.33,0.23,0.56,0.30,0.53,0.26,0.21,0.47,0.24,0.45,Matches
Jason Steele,483,engENG,GK,Brighton,34-264,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jay Robinson,435,engENG,"MF,FW",Southampton,18-055,2007,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
Jay Stansfield,482,engENG,MF,Fulham,22-166,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jayden Danns,120,engENG,MF,Liverpool,19-113,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jayden Meghoma,343,engENG,DF,Brentford,18-315,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jean-Clair Todibo,507,frFRA,DF,West Ham,25-130,1999,24,17,"1,564",17.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,31,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Jean-Philippe Mateta,331,frFRA,FW,Crystal Palace,27-315,1997,34,31,"2,517",28.0,14,2,16,12,2,2,2,0,12.1,10.6,3.1,13.6,38,47,114,0.50,0.07,0.57,0.43,0.50,0.43,0.11,0.54,0.38,0.49,Matches
Jean-Ricner Bellegarde,51,frFRA,"MF,FW",Wolves,26-316,1998,32,19,"1,551",17.2,2,6,8,2,0,0,3,0,1.3,1.3,3.6,4.9,49,39,83,0.12,0.35,0.46,0.12,0.46,0.08,0.21,0.28,0.08,0.28,Matches
Jefferson Lerma,300,coCOL,"MF,DF",Crystal Palace,30-196,1994,30,23,"2,034",22.6,0,1,1,0,0,0,8,0,1.0,1.0,1.5,2.5,11,86,25,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11,Matches
Jeffrey Schlupp,457,ghGHA,"MF,DF",Crystal Palace,32-137,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Matches
Jens Cajuste,81,seSWE,MF,Ipswich Town,25-272,1999,27,23,"1,783",19.8,1,0,1,1,0,0,2,0,0.5,0.5,0.6,1.1,23,46,16,0.05,0.00,0.05,0.05,0.05,0.02,0.03,0.06,0.02,0.06,Matches
Jeremy Doku,142,beBEL,"FW,MF",Manchester City,22-347,2002,26,15,"1,397",15.5,3,6,9,3,0,0,1,0,1.0,1.0,4.4,5.4,189,66,259,0.19,0.39,0.58,0.19,0.58,0.07,0.28,0.35,0.07,0.35,Matches
Jeremy Monga,354,N/a,"FW,MF",Leicester City,N/a,N/a,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jeremy Sarmiento,450,ecECU,MF,Brighton,22-327,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jesper Lindstrøm,307,dkDEN,FW,Everton,25-069,2000,25,15,"1,239",13.8,0,1,1,0,0,0,2,0,2.1,2.1,2.0,4.1,30,25,81,0.00,0.07,0.07,0.00,0.07,0.15,0.15,0.30,0.15,0.30,Matches
Joachim Andersen,23,dkDEN,DF,Crystal Palace,28-343,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Joe Aribo,32,ngNGA,"MF,DF",Southampton,28-292,1996,30,20,"1,909",21.2,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,35,71,64,0.14,0.00,0.14,0.14,0.14,0.13,0.07,0.20,0.13,0.20,Matches
Joe Gomez,206,engENG,DF,Liverpool,27-351,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
Joe Lumley,311,engENG,GK,Southampton,30-083,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joe Willock,552,engENG,"MF,FW",Newcastle Utd,25-262,1999,30,11,"1,026",11.4,0,2,2,0,0,0,3,0,1.6,1.6,1.9,3.5,36,38,82,0.00,0.18,0.18,0.00,0.18,0.14,0.17,0.31,0.14,0.31,Matches
Joel Ward,539,engENG,DF,Crystal Palace,35-192,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joelinton,262,brBRA,"MF,FW",Newcastle Utd,28-268,1996,29,29,"2,393",26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,Matches
John McGinn,339,sctSCO,"MF,FW",Aston Villa,30-203,1994,31,25,"2,052",22.8,1,4,5,1,0,0,7,0,2.9,2.6,3.4,6.0,31,96,72,0.04,0.18,0.22,0.04,0.22,0.13,0.15,0.28,0.11,0.27,Matches
John Stones,488,engENG,"DF,MF",Manchester City,30-346,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches
Jonny Evans,171,nirNIR,DF,Manchester Utd,37-126,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Jordan Ayew,40,ghGHA,"FW,MF",Crystal Palace,33-240,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,Matches
Jordan Pickford,412,engENG,GK,Everton,31-063,1994,35,35,"3,150",35.0,0,1,1,0,0,0,7,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
Jorge Cuenca,114,esESP,DF,Fulham,25-173,1999,6,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Jorginho,267,itITA,MF,Arsenal,33-140,1991,14,9,703,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Joshua Acheampong,2,engENG,DF,Chelsea,19-004,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Joshua King,282,engENG,"MF,FW",Fulham,18-126,2007,5,1,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,1,4,9,0.00,0.00,0.00,0.00,0.00,0.22,0.48,0.70,0.22,0.70,Matches
Joshua Zirkzee,567,nlNED,"FW,MF",Manchester Utd,23-352,2001,32,14,"1,402",15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,0.26,0.31,0.10,0.41,0.31,0.41,Matches
José Sá,442,ptPOR,GK,Wolves,32-112,1993,27,27,"2,430",27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Jota Silva,467,ptPOR,"FW,MF",Nott'ham Forest,25-281,1999,28,5,844,9.4,3,1,4,3,0,0,5,0,2.0,2.0,2.9,4.9,20,18,58,0.32,0.11,0.43,0.32,0.43,0.22,0.31,0.52,0.22,0.52,Matches
João Félix,176,ptPOR,"FW,MF",Chelsea,25-180,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
João Gomes,202,brBRA,MF,Wolves,24-086,2001,33,33,"2,781",30.9,3,1,4,3,0,0,10,1,2.7,2.7,1.2,3.9,53,148,68,0.10,0.03,0.13,0.10,0.13,0.09,0.04,0.13,0.09,0.13,Matches
João Pedro,261,brBRA,"FW,MF",Brighton,23-225,2001,27,23,"1,948",21.6,10,6,16,5,5,5,4,1,8.9,5.0,5.0,10.0,66,78,128,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46,Matches
Joël Veltman,528,nlNED,DF,Brighton,33-114,1992,20,19,"1,665",18.5,0,0,0,0,0,0,4,0,0.5,0.5,0.5,0.9,30,80,32,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Joško Gvardiol,222,hrCRO,DF,Manchester City,23-106,2002,34,33,"3,007",33.4,5,0,5,5,0,0,2,0,4.4,4.0,2.0,6.0,81,251,98,0.15,0.00,0.15,0.15,0.15,0.13,0.06,0.19,0.12,0.18,Matches
Julian Araujo,29,mxMEX,DF,Bournemouth,23-269,2001,10,6,426,4.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,14,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Julio Enciso,163,pyPAR,"FW,MF",Ipswich Town,21-106,2004,11,10,709,7.9,2,3,5,2,0,0,3,0,1.5,1.5,1.2,2.7,16,22,33,0.25,0.38,0.63,0.25,0.63,0.19,0.16,0.35,0.19,0.35,Matches
Julio Soler,477,arARG,FW,Bournemouth,20-082,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jurriën Timber,506,nlNED,DF,Arsenal,23-326,2001,30,27,"2,417",26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Matches
Justin Devenny,129,nirNIR,MF,Crystal Palace,21-210,2003,20,4,429,4.8,1,0,1,1,0,0,1,0,0.7,0.7,0.4,1.1,4,16,12,0.21,0.00,0.21,0.21,0.21,0.14,0.09,0.22,0.14,0.22,Matches
Justin Kluivert,285,nlNED,"MF,FW",Bournemouth,26-004,1999,31,27,"2,161",24.0,12,6,18,6,6,6,8,0,10.0,5.3,4.8,10.1,74,95,153,0.50,0.25,0.75,0.25,0.50,0.42,0.20,0.62,0.22,0.42,Matches
Jáder Durán,153,coCOL,FW,Aston Villa,21-147,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches
Jørgen Strand Larsen,489,noNOR,FW,Wolves,25-092,2000,32,29,"2,463",27.4,13,2,15,13,0,0,4,0,10.0,10.0,2.4,12.4,16,28,106,0.48,0.07,0.55,0.48,0.55,0.37,0.09,0.45,0.37,0.45,Matches
Kaelan Casey,87,engENG,DF,West Ham,20-193,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kai Havertz,229,deGER,"FW,MF",Arsenal,25-332,1999,21,21,"1,839",20.4,9,3,12,9,0,0,4,0,9.4,9.4,2.4,11.8,34,59,110,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,Matches
Kalvin Phillips,409,engENG,MF,Ipswich Town,29-158,1995,19,14,"1,237",13.7,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.7,4,51,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Kamaldeen Sulemana,491,ghGHA,"FW,MF",Southampton,23-083,2002,23,14,"1,178",13.1,1,1,2,1,0,0,2,0,1.4,1.4,1.0,2.4,57,26,76,0.08,0.08,0.15,0.08,0.15,0.10,0.08,0.18,0.10,0.18,Matches
Kaoru Mitoma,352,jpJPN,"FW,MF",Brighton,27-354,1997,33,28,"2,521",28.0,9,3,12,9,0,0,1,0,8.8,8.8,4.4,13.2,138,82,277,0.32,0.11,0.43,0.32,0.43,0.31,0.16,0.47,0.31,0.47,Matches
Kasey McAteer,337,ieIRL,"FW,MF",Leicester City,23-168,2001,15,6,612,6.8,0,1,1,0,0,0,2,0,0.7,0.7,0.6,1.3,16,11,52,0.00,0.15,0.15,0.00,0.15,0.10,0.09,0.19,0.10,0.19,Matches
Keane Lewis-Potter,302,engENG,"DF,FW",Brentford,24-076,2001,35,33,"2,839",31.5,1,3,4,1,0,0,6,0,2.6,2.6,3.0,5.6,92,90,144,0.03,0.10,0.13,0.03,0.13,0.08,0.10,0.18,0.08,0.18,Matches
Kenny Tete,501,nlNED,DF,Fulham,29-212,1995,19,18,"1,504",16.7,0,2,2,0,0,0,4,0,1.2,1.2,0.9,2.1,33,50,47,0.00,0.12,0.12,0.00,0.12,0.07,0.05,0.13,0.07,0.13,Matches
Kepa Arrizabalaga,35,esESP,GK,Bournemouth,30-218,1994,28,28,"2,520",28.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Danso,121,atAUT,DF,Tottenham,26-232,1998,7,6,572,6.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,17,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Kevin De Bruyne,125,beBEL,"MF,FW",Manchester City,33-315,1991,25,17,"1,538",17.1,4,7,11,4,0,0,2,0,3.8,3.8,7.6,11.4,47,135,137,0.23,0.41,0.64,0.23,0.64,0.22,0.44,0.67,0.22,0.67,Matches
Kevin Schade,455,deGER,FW,Brentford,23-163,2001,35,23,"2,069",23.0,10,2,12,10,0,0,3,0,7.7,7.7,3.4,11.1,56,32,146,0.43,0.09,0.52,0.43,0.52,0.33,0.15,0.48,0.33,0.48,Matches
Kieran Tierney,505,sctSCO,"DF,FW",Arsenal,27-338,1997,10,1,181,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,5,12,22,0.00,0.00,0.00,0.00,0.00,0.10,0.43,0.53,0.10,0.53,Matches
Kieran Trippier,517,engENG,DF,Newcastle Utd,34-232,1990,24,14,"1,281",14.2,0,3,3,0,0,0,1,0,0.1,0.1,1.3,1.3,25,111,53,0.00,0.21,0.21,0.00,0.21,0.01,0.09,0.09,0.01,0.09,Matches
Kiernan Dewsbury-Hall,130,engENG,"MF,FW",Chelsea,26-245,1998,12,2,259,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0.00,0.35,0.35,0.00,0.35,0.08,0.37,0.45,0.08,0.45,Matches
Kim Jisoo,260,krKOR,DF,Brentford,20-136,2004,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kobbie Mainoo,320,engENG,MF,Manchester Utd,20-020,2005,22,18,"1,506",16.7,0,0,0,0,0,0,5,0,0.6,0.6,1.6,2.2,21,59,42,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13,Matches
Konstantinos Mavropanos,333,grGRE,DF,West Ham,27-149,1997,31,20,"1,947",21.6,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2.0,16,60,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Kosta Nedeljković,372,rsSRB,DF,Aston Villa,19-144,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kostas Tsimikas,519,grGRE,DF,Liverpool,28-362,1996,17,8,747,8.3,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,16,71,42,0.00,0.12,0.12,0.00,0.12,0.05,0.26,0.30,0.05,0.30,Matches
Kristoffer Ajer,10,noNOR,DF,Brentford,27-022,1998,22,17,"1,405",15.6,0,0,0,0,0,0,5,0,0.8,0.8,1.2,2.1,27,54,42,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches
Kyle Walker,534,engENG,DF,Manchester City,34-346,1990,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Kyle Walker-Peters,535,engENG,DF,Southampton,28-026,1997,33,33,"2,918",32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0.00,0.06,0.06,0.00,0.06,0.03,0.09,0.11,0.03,0.11,Matches
Lamare Bogarde,61,nlNED,"DF,MF",Aston Villa,21-124,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Leandro Trossard,518,beBEL,FW,Arsenal,30-156,1994,35,26,"2,354",26.2,8,5,13,8,0,0,4,1,6.8,6.8,5.3,12.0,75,95,207,0.31,0.19,0.50,0.31,0.50,0.26,0.20,0.46,0.26,0.46,Matches
Leif Davis,123,engENG,DF,Ipswich Town,25-117,2000,31,30,"2,563",28.5,1,2,3,1,0,0,5,1,0.9,0.9,4.3,5.2,48,55,117,0.04,0.07,0.11,0.04,0.11,0.03,0.15,0.18,0.03,0.18,Matches
Leny Yoro,563,frFRA,DF,Manchester Utd,19-177,2005,20,11,"1,114",12.4,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,19,52,4,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06,Matches
Leon Bailey,43,jmJAM,"FW,MF",Aston Villa,27-273,1997,23,14,"1,138",12.6,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,57,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Matches
Lesley Ugochukwu,523,frFRA,MF,Southampton,21-044,2004,24,16,"1,525",16.9,1,1,2,1,0,0,6,0,0.9,0.9,1.0,1.9,29,49,20,0.06,0.06,0.12,0.06,0.12,0.05,0.06,0.11,0.05,0.11,Matches
Levi Colwill,107,engENG,DF,Chelsea,22-072,2003,32,32,"2,879",32.0,1,1,2,1,0,0,8,0,1.3,1.3,1.1,2.5,13,125,11,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches
Lewis Cook,108,engENG,"MF,DF",Bournemouth,28-095,1997,34,30,"2,816",31.3,1,3,4,1,0,0,8,0,0.9,0.9,4.1,5.1,33,153,49,0.03,0.10,0.13,0.03,0.13,0.03,0.13,0.16,0.03,0.16,Matches
Lewis Dunk,152,engENG,DF,Brighton,33-169,1991,25,23,"2,083",23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches
