Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Antoine Semenyo,461,ghGHA,FW,Bournemouth,25-122,2000,32.6,737,1007,73.2,10554,2740,442,522,84.7,235,307,76.5,32,83,38.6,5,5.8,4.2,-0.8,45,48,44,8,106,Matches
Antonee Robinson,434,usUSA,DF,Fulham,27-274,1997,33.2,1523,1987,76.6,26058,9482,732,844,86.7,644,815,79.0,128,227,56.4,10,4.1,4.0,+5.9,42,113,54,28,123,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-074,2000,1.6,56,69,81.2,688,111,45,51,88.2,9,14,64.3,1,1,100.0,0,0.1,0.2,-0.1,3,1,5,2,6,Matches
Antonín Kinský,283,czCZE,GK,Tottenham,22-057,2003,4.0,116,145,80.0,2699,1686,17,17,100.0,73,76,96.1,23,48,47.9,0,0.1,0.0,-0.1,1,2,0,0,1,Matches
Archie Gray,210,engENG,"DF,MF",Tottenham,19-058,2006,16.5,939,1065,88.2,16414,5046,360,390,92.3,511,551,92.7,55,93,59.1,0,0.1,0.2,-0.1,2,39,0,0,34,Matches
Arijanet Muric,366,xkKVX,GK,Ipswich Town,26-183,1998,18.0,454,633,71.7,11705,8247,122,122,100.0,215,221,97.3,115,283,40.6,0,0.0,0.0,0.0,0,14,0,0,1,Matches
Armando Broja,70,alALB,FW,Everton,23-241,2001,3.7,53,73,72.6,594,101,35,45,77.8,10,12,83.3,2,3,66.7,0,0.2,0.1,-0.2,4,3,0,0,2,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-149,2001,3.7,202,224,90.2,3829,956,65,66,98.5,119,123,96.7,16,29,55.2,0,0.0,0.0,0.0,0,6,0,0,5,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-223,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,N/a,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Ashley Young,564,engENG,"DF,FW",Everton,39-304,1985,18.0,610,873,69.9,11228,5051,292,332,88.0,237,312,76.0,75,186,40.3,3,1.6,1.9,+1.4,19,72,18,9,83,Matches
Axel Disasi,137,frFRA,DF,Aston Villa,27-059,1998,5.4,243,280,86.8,4080,1517,103,109,94.5,131,146,89.7,8,15,53.3,0,0.4,0.3,-0.4,3,14,3,0,16,Matches
Axel Tuanzebe,520,cdCOD,DF,Ipswich Town,27-176,1997,16.1,538,648,83.0,8269,3189,296,325,91.1,207,253,81.8,23,41,56.1,1,0.3,0.2,+0.7,4,50,3,0,46,Matches
Ayden Heaven,230,engENG,DF,Manchester Utd,18-229,2006,1.1,40,49,81.6,695,185,14,17,82.4,24,27,88.9,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Bart Verbruggen,530,nlNED,GK,Brighton,22-264,2002,33.0,938,1219,76.9,22231,15102,267,269,99.3,442,450,98.2,224,488,45.9,1,0.0,0.0,+1.0,1,18,1,0,2,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-021,1999,5.0,128,166,77.1,1836,383,83,95,87.4,36,53,67.9,7,11,63.6,0,0.1,0.1,-0.1,3,9,2,1,9,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-139,1996,1.5,45,69,65.2,618,155,26,31,83.9,16,25,64.0,1,9,11.1,0,0.2,0.3,-0.2,2,4,2,0,3,Matches
Ben Davies,122,wlsWAL,DF,Tottenham,32-015,1993,12.5,797,906,88.0,14950,5958,267,294,90.8,445,472,94.3,70,111,63.1,0,0.2,0.5,-0.2,2,43,2,0,50,Matches
Ben Godfrey,199,engENG,DF,Ipswich Town,27-114,1998,1.8,47,57,82.5,657,255,30,33,90.9,16,18,88.9,0,0,N/a,0,0.0,0.0,0.0,0,5,1,0,4,Matches
Ben Johnson,263,engENG,"DF,FW",Ipswich Town,25-105,2000,15.0,296,414,71.5,4812,2035,168,195,86.2,101,135,74.8,24,49,49.0,2,1.3,0.9,+0.7,12,21,3,2,26,Matches
Ben Mee,342,engENG,DF,Brentford,35-230,1989,2.0,93,120,77.5,1751,688,34,38,89.5,51,60,85.0,8,20,40.0,0,0.0,0.0,0.0,0,10,0,0,11,Matches
Ben White,548,engENG,DF,Arsenal,27-213,1997,10.5,449,537,83.6,7272,2494,230,249,92.4,187,221,84.6,22,45,48.9,1,0.8,0.7,+0.2,7,39,8,1,44,Matches
Ben Winterburn,556,engENG,"FW,MF",Bournemouth,20-247,2004,0.3,5,7,71.4,93,44,2,3,66.7,3,4,75.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Benoît Badiashile,42,frFRA,DF,Chelsea,24-044,2001,3.7,273,304,89.8,4820,1473,111,119,93.3,135,144,93.8,21,32,65.6,0,0.0,0.1,0.0,0,37,1,0,17,Matches
Bernardo Silva,466,ptPOR,"MF,FW",Manchester City,30-272,1994,26.7,1370,1573,87.1,20876,3837,765,830,92.2,503,569,88.4,72,108,66.7,4,4.4,3.8,-0.4,47,75,33,7,115,Matches
Bernd Leno,299,deGER,GK,Fulham,33-066,1992,35.0,1060,1301,81.5,25878,15530,210,211,99.5,629,636,98.9,209,440,47.5,1,0.1,0.1,+0.9,2,16,2,0,0,Matches
Beto,57,gwGNB,FW,Everton,27-098,1998,14.1,124,217,57.1,1676,185,74,109,67.9,34,68,50.0,7,8,87.5,0,0.8,0.3,-0.8,8,5,4,1,10,Matches
Bilal El Khannouss,279,maMAR,MF,Leicester City,20-364,2004,22.3,735,978,75.2,13072,3695,346,402,86.1,286,355,80.6,86,151,57.0,3,4.1,2.8,-1.1,36,83,28,6,119,Matches
Billy Gilmour,198,sctSCO,MF,Brighton,23-332,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11,Matches
Bobby De Cordova-Reid,126,jmJAM,FW,Leicester City,32-096,1993,8.3,145,206,70.4,1883,587,88,108,81.5,39,53,73.6,5,15,33.3,2,1.2,0.2,+0.8,6,9,5,0,15,Matches
Boubacar Kamara,273,frFRA,MF,Aston Villa,25-167,1999,16.3,738,827,89.2,11638,3651,381,408,93.4,313,341,91.8,31,57,54.4,0,0.9,0.7,-0.9,10,82,8,0,74,Matches
Boubacar Traoré,514,mlMLI,MF,Wolves,23-262,2001,0.0,0,0,N/a,0,0,0,0,N/a,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Boubakary Soumaré,480,frFRA,MF,Leicester City,26-071,1999,21.8,985,1136,86.7,14936,4024,537,584,92.0,382,436,87.6,38,55,69.1,0,0.4,0.9,-0.4,11,90,13,2,95,Matches
Brajan Gruda,213,deGER,"FW,MF",Brighton,20-343,2004,5.6,139,189,73.5,1879,639,90,109,82.6,32,45,71.1,9,22,40.9,3,1.5,1.1,+1.5,15,7,10,1,17,Matches
Brandon Austin,37,engENG,GK,Tottenham,26-121,1999,1.0,22,32,68.8,526,386,7,7,100.0,9,9,100.0,6,16,37.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Brennan Johnson,264,wlsWAL,FW,Tottenham,23-351,2001,23.1,438,617,71.0,5790,1591,268,333,80.5,140,185,75.7,11,32,34.4,3,2.3,2.0,+0.7,19,25,35,6,70,Matches
Bruno Fernandes,179,ptPOR,MF,Manchester Utd,30-243,1994,30.6,1522,2024,75.2,26743,9407,732,844,86.7,547,680,80.4,190,361,52.6,9,7.6,7.0,+1.4,84,176,73,11,281,Matches
Bruno Guimarães,218,brBRA,MF,Newcastle Utd,27-174,1997,33.4,1334,1625,82.1,22040,7192,656,724,90.6,532,608,87.5,104,183,56.8,6,5.8,5.1,+0.2,47,162,70,6,247,Matches
Bryan Mbeumo,335,cmCMR,FW,Brentford,25-275,1999,34.9,809,1214,66.6,12856,3990,445,563,79.0,289,401,72.1,61,165,37.0,6,8.0,8.8,-2.0,66,55,55,16,128,Matches
Bukayo Saka,443,engENG,"FW,MF",Arsenal,23-246,2001,17.1,488,649,75.2,7524,2184,290,322,90.1,141,193,73.1,41,86,47.7,10,6.8,6.9,+3.2,50,13,32,10,62,Matches
Caleb Kporha,289,engENG,DF,Crystal Palace,18-298,2006,0.1,5,7,71.4,72,21,4,4,100.0,0,2,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches
Caleb Okoli,390,itITA,DF,Leicester City,23-300,2001,12.5,558,646,86.4,9738,3849,242,265,91.3,273,300,91.0,36,65,55.4,0,0.0,0.2,0.0,0,21,1,0,32,Matches
Callum Hudson-Odoi,241,engENG,"FW,MF",Nott'ham Forest,24-183,2000,23.9,674,820,82.2,9918,1991,396,430,92.1,207,253,81.8,43,84,51.2,2,2.7,2.6,-0.7,44,36,31,11,66,Matches
Callum Wilson,553,engENG,FW,Newcastle Utd,33-071,1992,3.2,28,40,70.0,394,77,14,18,77.8,12,15,80.0,0,0,N/a,0,0.1,0.0,-0.1,1,1,0,0,3,Matches
Calvin Bassey,47,ngNGA,DF,Fulham,25-129,1999,32.2,1822,2030,89.8,32168,11248,770,810,95.1,892,949,94.0,131,213,61.5,0,0.1,0.4,-0.1,3,143,2,0,107,Matches
Cameron Archer,30,engENG,FW,Southampton,23-292,2001,15.3,189,233,81.1,2474,337,119,139,85.6,53,58,91.4,5,9,55.6,0,0.4,0.6,-0.4,3,6,7,0,14,Matches
Cameron Burgess,75,auAUS,DF,Ipswich Town,29-200,1995,16.1,590,729,80.9,10830,5211,240,264,90.9,280,322,87.0,62,122,50.8,2,0.5,0.4,+1.5,7,45,4,0,41,Matches
Caoimhín Kelleher,276,ieIRL,GK,Liverpool,26-167,1998,10.0,289,382,75.7,6252,3968,99,99,100.0,147,147,100.0,43,135,31.9,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Carlos Alcaraz,13,arARG,MF,Southampton,22-160,2002,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6,Matches
Carlos Baleba,44,cmCMR,MF,Brighton,21-126,2004,26.7,1048,1202,87.2,17638,4406,499,539,92.6,442,482,91.7,86,138,62.3,1,1.3,1.2,-0.3,20,103,22,2,111,Matches
Carlos Forbs,185,ptPOR,"MF,FW",Wolves,21-051,2004,2.7,60,91,65.9,788,228,39,51,76.5,19,26,73.1,1,5,20.0,0,0.0,0.1,0.0,1,2,3,1,8,Matches
Carlos Soler,476,esESP,"MF,FW",West Ham,28-127,1997,15.1,536,630,85.1,8360,2241,288,305,94.4,202,236,85.6,29,54,53.7,1,1.2,1.3,-0.2,14,41,11,0,52,Matches
Carlos Vinícius,533,brBRA,"MF,FW",Fulham,30-045,1995,0.2,1,3,33.3,14,0,1,2,50.0,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Casemiro,86,brBRA,MF,Manchester Utd,33-075,1992,14.8,670,854,78.5,11089,3522,318,368,86.4,267,319,83.7,58,97,59.8,0,2.3,1.9,-2.3,20,68,20,6,70,Matches
Chadi Riad,429,maMAR,DF,Crystal Palace,21-326,2003,1.0,70,82,85.4,1411,568,24,28,85.7,38,41,92.7,8,13,61.5,0,0.0,0.0,0.0,0,8,1,0,7,Matches
Charlie Taylor,498,engENG,DF,Southampton,31-233,1993,3.0,154,177,87.0,2691,691,63,67,94.0,77,86,89.5,12,17,70.6,0,0.1,0.1,-0.1,1,8,2,1,8,Matches
Cheick Doucouré,147,mlMLI,MF,Crystal Palace,25-121,2000,5.0,174,204,85.3,2909,823,84,94,89.4,70,78,89.7,16,20,80.0,0,0.0,0.1,0.0,1,17,3,0,19,Matches
Chidozie Obi-Martin,387,dkDEN,FW,Manchester Utd,17-161,2007,1.7,19,23,82.6,247,46,9,10,90.0,7,9,77.8,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Chiedozie Ogbene,389,ieIRL,FW,Ipswich Town,28-008,1997,2.6,32,43,74.4,415,27,20,24,83.3,8,10,80.0,1,1,100.0,0,0.1,0.0,-0.1,2,0,0,0,0,Matches
Chiquinho,97,ptPOR,MF,Wolves,25-093,2000,0.1,3,3,100.0,71,22,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0,Matches
Chris Richards,431,usUSA,DF,Crystal Palace,25-042,2000,18.4,609,759,80.2,10779,3832,250,283,88.3,300,335,89.6,48,107,44.9,0,0.1,0.6,-0.1,2,22,1,1,35,Matches
Chris Wood,558,nzNZL,FW,Nott'ham Forest,33-153,1991,29.9,290,440,65.9,4048,879,176,252,69.8,78,116,67.2,16,22,72.7,3,2.5,1.4,+0.5,19,16,9,1,36,Matches
Christian Eriksen,166,dkDEN,MF,Manchester Utd,33-084,1992,11.4,569,719,79.1,9538,2975,305,331,92.1,184,228,80.7,59,124,47.6,2,2.9,2.2,-0.9,27,53,11,4,53,Matches
Christian Nørgaard,383,dkDEN,MF,Brentford,31-060,1994,28.3,1049,1290,81.3,17392,5800,523,601,87.0,440,517,85.1,68,116,58.6,3,1.0,1.2,+2.0,17,128,24,4,133,Matches
Christian Walton,536,engENG,GK,Ipswich Town,29-181,1995,6.0,152,226,67.3,4170,2976,41,41,100.0,69,71,97.2,42,114,36.8,0,0.0,0.0,0.0,1,1,0,0,0,Matches
Christopher Nkunku,378,frFRA,FW,Chelsea,27-176,1997,10.2,299,334,89.5,3928,760,185,202,91.6,95,103,92.2,6,6,100.0,2,2.1,1.0,-0.1,14,26,7,0,25,Matches
Cody Gakpo,191,nlNED,FW,Liverpool,26-002,1999,19.1,439,579,75.8,6279,1564,271,313,86.6,137,206,66.5,17,31,54.8,3,3.5,3.2,-0.5,33,22,27,8,52,Matches
Cole Palmer,402,engENG,MF,Chelsea,23-003,2002,32.5,1044,1357,76.9,19884,5288,434,505,85.9,425,501,84.8,161,269,59.9,8,10.0,8.5,-2.0,82,153,61,17,200,Matches
Conor Bradley,65,nirNIR,DF,Liverpool,21-304,2003,6.3,377,449,84.0,5606,1450,220,240,91.7,139,158,88.0,11,31,35.5,1,0.5,0.6,+0.5,5,20,3,1,26,Matches
Conor Chaplin,93,engENG,"MF,FW",Ipswich Town,28-082,1997,7.9,186,256,72.7,2998,762,89,110,80.9,84,106,79.2,8,20,40.0,1,0.7,0.6,+0.3,8,20,7,2,26,Matches
Conor Coady,103,engENG,DF,Leicester City,32-073,1993,16.0,829,912,90.9,14352,5362,353,364,97.0,424,439,96.6,48,91,52.7,0,0.1,0.5,-0.1,1,32,2,0,30,Matches
Conor Townsend,512,engENG,DF,Ipswich Town,32-066,1993,3.7,80,127,63.0,1418,756,32,39,82.1,41,55,74.5,7,24,29.2,1,0.7,0.2,+0.3,4,7,2,2,8,Matches
Craig Dawson,124,engENG,DF,Wolves,35-003,1990,10.8,484,559,86.6,9745,3180,149,161,92.5,267,287,93.0,57,95,60.0,0,0.0,0.1,0.0,2,22,1,0,20,Matches
Cristian Romero,440,arARG,DF,Tottenham,27-012,1998,15.7,1094,1223,89.5,20402,8197,370,405,91.4,630,665,94.7,80,126,63.5,0,0.6,0.8,-0.6,7,109,8,1,71,Matches
Crysencio Summerville,492,nlNED,"FW,MF",West Ham,23-191,2001,8.7,194,254,76.4,2881,640,125,148,84.5,55,62,88.7,11,22,50.0,1,1.7,1.7,-0.7,17,13,12,5,18,Matches
Curtis Jones,266,engENG,"MF,DF",Liverpool,24-099,2001,17.0,911,976,93.3,13290,2696,524,541,96.9,331,357,92.7,33,44,75.0,3,1.0,1.5,+2.0,19,70,17,0,95,Matches
Daichi Kamada,272,jpJPN,MF,Crystal Palace,28-277,1996,15.8,541,678,79.8,8735,2248,286,325,88.0,213,258,82.6,31,53,58.5,0,1.8,1.4,-1.8,19,42,13,2,80,Matches
Dan Burn,76,engENG,DF,Newcastle Utd,33-000,1992,34.0,1630,1834,88.9,29674,10371,571,632,90.3,948,1001,94.7,98,160,61.3,0,0.9,1.0,-0.9,8,39,7,0,59,Matches
Dane Scarlett,454,engENG,"FW,MF",Tottenham,21-046,2004,0.4,3,5,60.0,37,20,2,2,100.0,1,1,100.0,0,1,0.0,1,0.0,0.0,+1.0,1,0,0,0,1,Matches
Dango Ouattara,399,bfBFA,FW,Bournemouth,23-087,2002,22.3,367,612,60.0,5725,1706,210,288,72.9,120,193,62.2,25,67,37.3,4,5.5,3.3,-1.5,35,21,26,11,43,Matches
Daniel Bentley,53,engENG,GK,Wolves,31-300,1993,1.0,20,34,58.8,552,422,2,2,100.0,12,12,100.0,6,20,30.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Daniel Jebbison,256,engENG,FW,Bournemouth,21-269,2003,0.9,26,32,81.3,232,36,17,19,89.5,1,1,100.0,0,1,0.0,0,0.2,0.1,-0.2,3,1,1,0,3,Matches
Daniel Muñoz,365,coCOL,DF,Crystal Palace,28-348,1996,32.9,1052,1391,75.6,16013,4812,594,695,85.5,394,511,77.1,44,100,44.0,4,4.5,3.2,-0.5,41,53,33,14,89,Matches
Daniel Podence,414,ptPOR,"MF,FW",Wolves,29-200,1995,0.5,11,16,68.8,132,78,7,7,100.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches
Danilo,119,brBRA,"MF,FW",Nott'ham Forest,24-010,2001,3.0,89,114,78.1,1435,534,43,51,84.3,36,43,83.7,6,10,60.0,0,0.0,0.0,0.0,0,13,0,0,11,Matches
Danny Ings,247,engENG,"FW,MF",West Ham,32-290,1992,3.2,63,92,68.5,830,126,41,49,83.7,19,29,65.5,1,5,20.0,2,1.3,0.1,+0.7,6,4,1,0,5,Matches
Danny Ward,538,wlsWAL,GK,Leicester City,31-321,1993,1.5,41,53,77.4,1162,949,6,6,100.0,20,20,100.0,15,27,55.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Danny Welbeck,544,engENG,FW,Brighton,34-164,1990,21.6,368,437,84.2,4306,863,245,284,86.3,80,92,87.0,9,9,100.0,4,1.2,1.3,+2.8,19,17,13,0,42,Matches
Dara O'Shea,386,ieIRL,DF,Ipswich Town,26-066,1999,31.7,1112,1432,77.7,22113,9691,357,412,86.7,621,732,84.8,123,246,50.0,2,0.5,0.7,+1.5,3,83,3,1,71,Matches
Darwin Núñez,381,uyURU,FW,Liverpool,25-319,1999,11.7,151,214,70.6,2248,546,82,102,80.4,46,63,73.0,12,18,66.7,2,1.2,0.4,+0.8,9,9,2,0,27,Matches
David Brooks,71,wlsWAL,"FW,MF",Bournemouth,27-305,1997,9.2,245,330,74.2,3790,1131,139,164,84.8,80,105,76.2,19,37,51.4,0,1.7,1.7,-1.7,16,15,15,5,27,Matches
David Raya,424,esESP,GK,Arsenal,29-236,1995,35.0,979,1312,74.6,23137,15900,274,277,98.9,507,516,98.3,196,513,38.2,0,0.0,0.1,0.0,0,41,2,0,13,Matches
Dean Henderson,233,engENG,GK,Crystal Palace,28-058,1997,35.0,682,1111,61.4,18786,12431,163,164,99.4,324,326,99.4,191,616,31.0,0,0.1,0.1,-0.1,2,21,1,0,0,Matches
Dean Huijsen,243,esESP,DF,Bournemouth,20-025,2005,24.8,1204,1444,83.4,24235,9618,389,437,89.0,644,703,91.6,160,270,59.3,1,2.0,1.5,-1.0,14,146,7,2,116,Matches
Declan Rice,430,engENG,MF,Arsenal,26-115,1999,29.4,1304,1562,83.5,22238,5871,641,697,92.0,525,580,90.5,112,229,48.9,7,6.5,5.5,+0.5,56,126,35,5,180,Matches
Dejan Kulusevski,292,seSWE,"MF,FW",Tottenham,25-014,2000,26.3,656,891,73.6,9184,2903,393,456,86.2,202,259,78.0,32,79,40.5,4,6.2,3.9,-2.2,65,62,52,6,123,Matches
Destiny Udogie,521,itITA,DF,Tottenham,22-162,2002,20.4,947,1084,87.4,13710,4612,533,584,91.3,359,397,90.4,24,30,80.0,1,1.5,1.2,-0.5,16,88,6,1,120,Matches
Diego Carlos,84,brBRA,DF,Aston Villa,32-055,1993,9.2,534,603,88.6,10941,4103,138,151,91.4,341,362,94.2,54,83,65.1,0,0.0,0.1,0.0,0,23,1,0,34,Matches
Diego Gómez,205,pyPAR,MF,Brighton,22-043,2003,4.9,206,261,78.9,3195,743,115,135,85.2,74,89,83.1,12,23,52.2,0,0.5,0.8,-0.5,5,12,5,1,20,Matches
Diogo Dalot,117,ptPOR,DF,Manchester Utd,26-052,1999,31.0,1336,1659,80.5,21497,6609,691,769,89.9,519,634,81.9,93,168,55.4,3,2.0,2.5,+1.0,26,61,25,8,102,Matches
Diogo Jota,268,ptPOR,FW,Liverpool,28-156,1996,12.8,205,294,69.7,3120,750,109,143,76.2,72,96,75.0,13,21,61.9,3,1.8,1.1,+1.2,11,29,3,1,33,Matches
Divin Mubama,361,engENG,FW,Manchester City,20-196,2004,0.3,2,3,66.7,44,18,1,1,100.0,0,0,N/a,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Djed Spence,481,engENG,DF,Tottenham,24-273,2000,17.8,923,1079,85.5,13205,3957,539,575,93.7,321,374,85.8,31,60,51.7,2,1.8,1.4,+0.2,11,74,18,8,100,Matches
Dominic Calvert-Lewin,83,engENG,FW,Everton,28-054,1997,17.6,177,282,62.8,2075,488,128,183,69.9,36,61,59.0,3,8,37.5,1,0.6,0.7,+0.4,7,19,5,1,19,Matches
Dominic Solanke,475,engENG,FW,Tottenham,27-237,1997,23.5,250,352,71.0,3344,914,153,201,76.1,64,83,77.1,12,18,66.7,3,2.9,1.1,+0.1,14,27,9,0,45,Matches
Dominik Szoboszlai,494,huHUN,MF,Liverpool,24-196,2000,25.3,1029,1216,84.6,15917,3194,562,630,89.2,333,377,88.3,83,115,72.2,5,6.2,5.1,-1.2,51,80,31,5,118,Matches
Donyell Malen,322,nlNED,FW,Aston Villa,26-120,1999,3.3,48,69,69.6,658,124,30,36,83.3,13,18,72.2,3,6,50.0,0,0.1,0.1,-0.1,2,2,1,0,5,Matches
Dwight McNeil,340,engENG,"MF,FW",Everton,25-168,1999,14.0,420,570,73.7,7795,2568,195,225,86.7,148,181,81.8,67,128,52.3,4,3.8,3.9,+0.2,33,38,33,10,63,Matches
Eberechi Eze,172,engENG,"MF,FW",Crystal Palace,26-314,1998,27.0,735,987,74.5,12395,3261,361,428,84.3,284,340,83.5,70,156,44.9,8,5.2,3.8,+2.8,54,47,35,4,89,Matches
Eddie Nketiah,377,engENG,"FW,MF",Crystal Palace,25-344,1999,9.9,166,223,74.4,2483,511,89,112,79.5,55,68,80.9,12,17,70.6,1,1.6,0.8,-0.6,12,11,4,0,17,Matches
Ederson,154,brBRA,GK,Manchester City,31-265,1993,22.8,730,828,88.2,17943,11813,129,129,100.0,421,428,98.4,177,267,66.3,4,1.5,0.2,+2.5,4,20,1,0,1,Matches
Edmond-Paris Maghoma,318,engENG,"MF,FW",Brentford,24-001,2001,1.3,76,84,90.5,1259,343,38,40,95.0,29,31,93.5,6,7,85.7,0,0.1,0.0,-0.1,1,2,0,0,13,Matches
Edson Álvarez,18,mxMEX,MF,West Ham,27-197,1997,18.1,763,890,85.7,12894,3657,372,419,88.8,322,359,89.7,61,83,73.5,1,0.8,0.8,+0.2,11,80,11,3,75,Matches
Eiran Cashin,89,ieIRL,DF,Brighton,23-181,2001,0.2,23,28,82.1,407,196,9,10,90.0,13,13,100.0,1,5,20.0,0,0.0,0.0,0.0,0,5,0,0,6,Matches
Elliot Anderson,25,engENG,MF,Nott'ham Forest,22-184,2002,27.4,949,1223,77.6,15198,5277,500,561,89.1,347,432,80.3,69,151,45.7,6,3.1,3.3,+2.9,34,105,19,2,128,Matches
Emerson Palmieri,403,itITA,DF,West Ham,30-279,1994,23.4,859,1075,79.9,12521,4536,513,572,89.7,283,348,81.3,43,102,42.2,1,1.5,2.2,-0.5,16,51,13,5,66,Matches
Emi Buendía,72,arARG,"MF,FW",Aston Villa,28-135,1996,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,Matches
Emil Krafth,290,seSWE,DF,Newcastle Utd,30-280,1994,3.2,104,130,80.0,1661,734,49,60,81.7,46,53,86.8,5,10,50.0,0,0.1,0.0,-0.1,1,6,0,0,7,Matches
Emile Smith Rowe,474,engENG,MF,Fulham,24-285,2000,21.0,844,937,90.1,12107,2312,489,531,92.1,313,328,95.4,19,27,70.4,2,1.1,1.7,+0.9,18,76,15,1,120,Matches
Emiliano Martínez,328,arARG,GK,Aston Villa,32-249,1992,33.0,1018,1287,79.1,26608,16192,180,184,97.8,590,601,98.2,248,495,50.1,0,0.5,0.1,-0.5,2,24,0,0,4,Matches
Emmanuel Agbadou,6,ciCIV,DF,Wolves,27-326,1997,12.7,663,780,85.0,13505,4751,210,229,91.7,358,386,92.7,89,146,61.0,0,0.2,0.3,-0.2,4,26,1,0,22,Matches
Enes Ünal,524,trTUR,"FW,MF",Bournemouth,27-364,1997,3.8,63,99,63.6,685,192,40,52,76.9,17,28,60.7,0,1,0.0,1,0.4,0.3,+0.6,4,4,4,0,12,Matches
Enzo Fernández,181,arARG,MF,Chelsea,24-112,2001,29.7,1429,1786,80.0,25393,7117,653,734,89.0,590,694,85.0,153,264,58.0,7,6.5,6.1,+0.5,73,156,39,7,199,Matches
Eric da Silva Moreira,468,deGER,"MF,DF",Nott'ham Forest,19-006,2006,0.3,7,8,87.5,86,7,6,7,85.7,1,1,100.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Erling Haaland,223,noNOR,FW,Manchester City,24-292,2000,27.6,225,341,66.0,2706,532,156,221,70.6,50,75,66.7,4,6,66.7,3,2.8,1.8,+0.2,26,9,7,1,18,Matches
Ethan Nwaneri,382,engENG,"FW,MF",Arsenal,18-049,2007,9.1,307,383,80.2,4430,1147,194,211,91.9,83,108,76.9,18,35,51.4,2,1.0,1.7,+1.0,12,16,13,6,30,Matches
Ethan Pinnock,413,jmJAM,DF,Brentford,31-345,1993,21.3,924,1080,85.6,17045,6094,360,382,94.2,472,528,89.4,84,145,57.9,0,1.2,0.7,-1.2,8,48,4,1,41,Matches
Evan Ferguson,177,ieIRL,FW,West Ham,20-202,2004,1.7,28,37,75.7,375,21,21,26,80.8,5,7,71.4,1,2,50.0,0,0.3,0.3,-0.3,2,1,0,0,1,Matches
Evanilson,169,brBRA,FW,Bournemouth,25-215,1999,22.9,215,307,70.0,2631,580,137,182,75.3,46,63,73.0,10,15,66.7,1,1.6,1.7,-0.6,23,14,3,0,24,Matches
Ezri Konsa,287,engENG,DF,Aston Villa,27-198,1997,29.6,1425,1535,92.8,23907,7947,621,644,96.4,733,766,95.7,55,84,65.5,0,0.4,0.5,-0.4,5,95,1,0,77,Matches
