Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Tyrique George,196,engENG,FW,Chelsea,19-094,2006,1.1,38,46,82.6,494,72,21,23,91.3,14,17,82.4,0,2,0.0,1,0.7,0.3,+0.3,5,0,1,0,2,Matches
Tyrone Mings,349,engENG,DF,Aston Villa,32-057,1993,11.7,581,656,88.6,10405,3319,227,245,92.7,315,334,94.3,34,63,54.0,0,0.2,0.2,-0.2,3,47,5,0,39,Matches
Valentino Livramento,308,engENG,DF,Newcastle Utd,22-178,2002,28.6,1278,1503,85.0,18914,6131,740,817,90.6,468,542,86.3,45,79,57.0,1,2.3,2.0,-1.3,21,98,24,5,144,Matches
Victor Bernth Kristiansen,56,dkDEN,DF,Leicester City,22-144,2002,26.4,1007,1297,77.6,16181,5793,510,569,89.6,411,513,80.1,65,157,41.4,1,1.4,1.7,-0.4,18,74,23,18,69,Matches
Victor Lindelöf,306,seSWE,DF,Manchester Utd,30-296,1994,5.4,205,220,93.2,3326,881,84,91,92.3,111,115,96.5,6,9,66.7,0,0.1,0.1,-0.1,3,7,2,1,10,Matches
Virgil van Dijk,525,nlNED,DF,Liverpool,33-305,1991,35.0,2543,2776,91.6,46352,18087,1042,1084,96.1,1263,1323,95.5,213,317,67.2,1,0.7,0.9,+0.3,12,269,6,0,180,Matches
Vitaliy Mykolenko,369,uaUKR,DF,Everton,25-345,1999,31.2,908,1220,74.4,15184,6186,467,525,89.0,342,461,74.2,80,179,44.7,1,1.6,2.0,-0.6,20,96,37,22,105,Matches
Vitaly Janelt,254,deGER,MF,Brentford,26-364,1998,25.0,872,1057,82.5,14466,4279,443,489,90.6,344,403,85.4,66,118,55.9,3,2.2,2.4,+0.8,14,78,23,7,80,Matches
Vitezslav Jaros,255,czCZE,GK,Liverpool,23-290,2001,0.1,6,8,75.0,302,273,0,0,N/a,1,1,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Vitor Reis,428,brBRA,DF,Manchester City,19-117,2006,0.0,2,2,100.0,50,10,0,0,N/a,2,2,100.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Vladimír Coufal,110,czCZE,DF,West Ham,32-260,1992,9.7,370,477,77.6,6056,2289,188,211,89.1,149,186,80.1,26,62,41.9,0,0.6,0.9,-0.6,6,35,12,7,33,Matches
Wataru Endo,165,jpJPN,MF,Liverpool,32-089,1993,2.6,148,159,93.1,2295,527,76,81,93.8,58,61,95.1,8,8,100.0,0,0.1,0.1,-0.1,2,14,1,0,14,Matches
Welington,545,brBRA,"DF,MF",Southampton,24-079,2001,2.4,69,89,77.5,1098,318,29,35,82.9,32,41,78.0,3,4,75.0,0,0.0,0.1,0.0,2,5,5,4,6,Matches
Wes Burns,77,wlsWAL,"FW,DF",Ipswich Town,30-167,1994,10.3,153,253,60.5,2416,597,82,102,80.4,51,78,65.4,14,36,38.9,1,1.6,1.2,-0.6,10,8,8,7,8,Matches
Wesley Fofana,184,frFRA,DF,Chelsea,24-143,2000,13.0,724,803,90.2,12262,3415,306,326,93.9,385,416,92.5,26,42,61.9,0,0.4,0.2,-0.4,6,54,1,0,32,Matches
Wilfred Ndidi,371,ngNGA,MF,Leicester City,28-144,1996,23.9,775,965,80.3,11104,2829,423,486,87.0,262,319,82.1,36,66,54.5,4,1.8,1.5,+2.2,15,62,10,3,65,Matches
Will Alves,19,engENG,FW,Leicester City,20-095,2005,0.0,1,1,100.0,12,0,1,1,100.0,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Will Hughes,242,engENG,MF,Crystal Palace,30-022,1995,21.1,672,887,75.8,10702,3723,342,385,88.8,264,320,82.5,44,123,35.8,3,2.7,2.3,+0.3,29,69,14,3,83,Matches
Will Lankshear,296,engENG,"FW,MF",Tottenham,20-019,2005,0.1,0,1,0.0,0,0,0,1,0.0,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
William Osula,398,dkDEN,FW,Newcastle Utd,21-278,2003,1.2,11,18,61.1,126,33,8,13,61.5,2,4,50.0,0,0,N/a,0,0.1,0.0,-0.1,1,0,1,0,2,Matches
William Saliba,445,frFRA,DF,Arsenal,24-046,2001,32.3,2320,2463,94.2,39927,12025,978,1022,95.7,1214,1265,96.0,119,149,79.9,0,0.9,1.3,-0.9,7,175,6,0,134,Matches
