Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Mario Lemina,298,gaGAB,"MF,DF",Wolves,31-250,1993,15.2,26,1.71,21,0,2,2,0,1,5,0.33,5,0,0,0,0,0,Matches
Mark Flekken,182,nlNED,GK,Brentford,31-330,1993,33.4,10,0.30,6,4,0,0,0,0,2,0.06,0,2,0,0,0,0,Matches
Mark Travers,515,ieIRL,GK,Bournemouth,25-356,1999,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marshall Munetsi,363,zwZIM,"MF,FW",Wolves,28-321,1996,9.8,16,1.64,12,0,0,1,2,1,1,0.10,1,0,0,0,0,0,Matches
Martial Godo,200,engENG,FW,Fulham,22-056,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Martin Dúbravka,151,skSVK,GK,Newcastle Utd,36-114,1989,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Martin Ødegaard,568,noNOR,MF,Arsenal,26-143,1998,23.7,115,4.86,95,12,2,4,2,0,14,0.59,12,2,0,0,0,0,Matches
Mason Holgate,240,engENG,"FW,DF",Everton,28-199,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mason Mount,360,engENG,"MF,FW",Manchester Utd,26-119,1999,4.8,15,3.14,9,2,0,3,1,0,0,0.00,0,0,0,0,0,0,Matches
Massimo Luongo,312,auAUS,MF,Ipswich Town,32-226,1992,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mateo Kovačić,288,hrCRO,MF,Manchester City,31-003,1994,22.8,63,2.77,52,0,3,4,3,1,6,0.26,4,0,1,1,0,0,Matches
Mateus Fernandes,180,ptPOR,MF,Southampton,20-303,2004,29.3,71,2.42,40,13,5,6,6,1,6,0.20,4,1,0,0,0,1,Matches
Matheus Cunha,115,brBRA,"MF,FW",Wolves,25-347,1999,26.9,118,4.38,67,11,17,8,12,3,16,0.59,10,0,4,0,1,1,Matches
Matheus França,187,brBRA,"FW,MF",Crystal Palace,21-038,2004,0.3,1,3.46,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Matheus Nunes,380,ptPOR,"DF,MF",Manchester City,26-255,1998,16.6,39,2.35,32,1,2,2,2,0,6,0.36,4,0,1,1,0,0,Matches
Mathias Jensen,257,dkDEN,MF,Brentford,29-128,1996,9.1,38,4.19,27,10,1,0,0,0,5,0.55,2,2,1,0,0,0,Matches
Mathis Amougou,22,frFRA,MF,Chelsea,19-111,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mathys Tel,500,frFRA,FW,Tottenham,20-012,2005,7.2,20,2.78,14,1,1,2,2,0,1,0.14,1,0,0,0,0,0,Matches
Mats Wieffer,549,nlNED,"MF,DF",Brighton,25-174,1999,8.3,26,3.14,24,0,0,2,0,0,4,0.48,4,0,0,0,0,0,Matches
Matt Doherty,141,ieIRL,DF,Wolves,33-113,1992,21.8,24,1.10,18,3,1,1,1,0,3,0.14,3,0,0,0,0,0,Matches
Matt O'Riley,385,dkDEN,MF,Brighton,24-169,2000,9.4,35,3.72,20,9,1,2,1,2,4,0.43,3,0,0,0,1,0,Matches
Matt Targett,495,engENG,DF,Newcastle Utd,29-233,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matthijs de Ligt,304,nlNED,DF,Manchester Utd,25-270,1999,23.6,14,0.59,12,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
Matty Cash,88,plPOL,DF,Aston Villa,27-275,1997,20.0,22,1.10,20,1,1,0,0,0,2,0.10,2,0,0,0,0,0,Matches
Matz Sels,459,beBEL,GK,Nott'ham Forest,33-072,1992,35.0,5,0.14,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Max Aarons,1,engENG,DF,Bournemouth,25-125,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Max Kilman,281,engENG,DF,West Ham,27-351,1997,34.2,29,0.85,26,0,2,0,0,1,3,0.09,2,0,1,0,0,0,Matches
Maxence Lacroix,293,frFRA,DF,Crystal Palace,25-033,2000,31.6,26,0.82,21,1,0,4,0,0,4,0.13,2,1,0,1,0,0,Matches
Maxwel Cornet,109,ciCIV,FW,Southampton,28-224,1996,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Michael Golding,201,engENG,MF,Leicester City,18-351,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Michael Kayode,274,itITA,DF,Brentford,20-303,2004,3.2,10,3.09,5,3,1,0,1,0,3,0.93,3,0,0,0,0,0,Matches
Michael Keane,275,engENG,DF,Everton,32-118,1993,9.5,6,0.63,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Michail Antonio,27,jmJAM,FW,West Ham,35-042,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches
Micky van de Ven,529,nlNED,DF,Tottenham,24-020,2001,10.6,11,1.04,8,0,0,2,1,0,2,0.19,2,0,0,0,0,0,Matches
Miguel Almirón,17,pyPAR,FW,Newcastle Utd,31-088,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Mikel Merino,344,esESP,"MF,FW",Arsenal,28-321,1996,15.8,39,2.48,33,0,0,5,1,0,4,0.25,3,0,0,1,0,0,Matches
Mikey Moore,355,engENG,FW,Tottenham,17-271,2007,2.3,10,4.33,6,2,0,1,1,0,2,0.87,1,0,0,1,0,0,Matches
Mikkel Damsgaard,118,dkDEN,"MF,FW",Brentford,24-310,2000,29.5,114,3.86,86,14,6,2,1,5,21,0.71,15,3,1,0,1,1,Matches
Milos Kerkez,278,huHUN,DF,Bournemouth,21-183,2003,34.2,76,2.22,61,4,1,2,5,3,9,0.26,7,0,1,0,0,1,Matches
Mohamed Salah,444,egEGY,FW,Liverpool,32-328,1992,34.5,157,4.56,114,2,20,14,5,2,26,0.75,19,0,5,2,0,0,Matches
Mohammed Kudus,291,ghGHA,"FW,MF",West Ham,24-280,2000,26.9,101,3.76,71,1,15,10,2,2,7,0.26,5,0,1,1,0,0,Matches
Moisés Caicedo,79,ecECU,"MF,DF",Chelsea,23-188,2001,34.2,94,2.75,82,0,2,0,3,7,9,0.26,6,0,0,0,2,1,Matches
Morato,356,brBRA,DF,Nott'ham Forest,23-313,2001,9.0,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Morgan Gibbs-White,197,engENG,MF,Nott'ham Forest,25-102,2000,28.2,104,3.68,88,0,3,7,4,2,17,0.60,12,0,0,4,1,0,Matches
Morgan Rogers,439,engENG,"FW,MF",Aston Villa,22-287,2002,31.7,101,3.19,76,0,13,7,5,0,14,0.44,12,0,1,0,1,0,Matches
Murillo,367,brBRA,DF,Nott'ham Forest,22-309,2002,33.4,40,1.20,27,7,0,3,1,2,2,0.06,1,1,0,0,0,0,Matches
Mykhailo Mudryk,362,uaUKR,FW,Chelsea,24-124,2001,1.7,6,3.60,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Myles Lewis-Skelly,303,engENG,DF,Arsenal,18-225,2006,13.0,24,1.85,18,0,1,0,5,0,0,0.00,0,0,0,0,0,0,Matches
Nasser Djiga,140,bfBFA,"DF,FW",Wolves,22-175,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Aké,12,nlNED,DF,Manchester City,30-080,1995,7.5,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Broadhead,69,wlsWAL,"MF,FW",Ipswich Town,27-034,1998,6.7,19,2.83,14,0,5,0,0,0,2,0.30,1,0,1,0,0,0,Matches
