Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
André Onana,393,cmCMR,GK,Manchester Utd,29-037,1996,33.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Andrés García,193,esESP,"DF,MF",Aston Villa,22-091,2003,3.5,0,2,0,0.0,0.57,0.00,0.00,N/a,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Andy Irving,249,sctSCO,MF,West Ham,24-361,2000,1.8,0,4,2,50.0,2.17,1.08,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Anthony Elanga,160,seSWE,"FW,MF",Nott'ham Forest,23-012,2002,24.8,6,40,21,52.5,1.61,0.85,0.15,0.29,17.3,5,0,0,4.2,4.2,0.11,+1.8,+1.8,Matches
Anthony Gordon,208,engENG,FW,Newcastle Utd,24-074,2001,24.8,6,56,16,28.6,2.26,0.64,0.09,0.31,16.8,1,1,2,8.0,6.4,0.11,-2.0,-1.4,Matches
Antoine Semenyo,461,ghGHA,FW,Bournemouth,25-122,2000,32.6,9,118,37,31.4,3.62,1.14,0.08,0.24,17.2,0,0,0,9.3,9.3,0.08,-0.3,-0.3,Matches
Antonee Robinson,434,usUSA,DF,Fulham,27-274,1997,33.2,0,16,2,12.5,0.48,0.06,0.00,0.00,22.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-074,2000,1.6,0,6,3,50.0,3.83,1.91,0.00,0.00,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
Antonín Kinský,283,czCZE,GK,Tottenham,22-057,2003,4.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Archie Gray,210,engENG,"DF,MF",Tottenham,19-058,2006,16.5,0,1,1,100.0,0.06,0.06,0.00,0.00,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Arijanet Muric,366,xkKVX,GK,Ipswich Town,26-183,1998,18.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
