Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Diogo Dalot,117,ptPOR,DF,Manchester Utd,26-052,1999,31.0,0,23,5,21.7,0.74,0.16,0.00,0.00,15.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
Diogo Jota,268,ptPOR,FW,Liverpool,28-156,1996,12.8,6,48,13,27.1,3.74,1.01,0.13,0.46,12.3,0,0,0,7.5,7.5,0.16,-1.5,-1.5,Matches
Divin Mubama,361,engENG,FW,Manchester City,20-196,2004,0.3,0,1,0,0.0,3.21,0.00,0.00,N/a,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Djed Spence,481,engENG,DF,Tottenham,24-273,2000,17.8,1,10,3,30.0,0.56,0.17,0.10,0.33,23.9,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
Dominic Calvert-Lewin,83,engENG,FW,Everton,28-054,1997,17.6,3,47,17,36.2,2.66,0.96,0.06,0.18,12.3,0,0,0,6.2,6.2,0.13,-3.2,-3.2,Matches
Dominic Solanke,475,engENG,FW,Tottenham,27-237,1997,23.5,8,59,24,40.7,2.51,1.02,0.14,0.33,12.1,0,0,0,10.1,10.1,0.17,-2.1,-2.1,Matches
Dominik Szoboszlai,494,huHUN,MF,Liverpool,24-196,2000,25.3,5,62,20,32.3,2.45,0.79,0.08,0.25,18.5,3,0,0,7.1,7.1,0.12,-2.1,-2.1,Matches
Donyell Malen,322,nlNED,FW,Aston Villa,26-120,1999,3.3,3,15,9,60.0,4.61,2.76,0.20,0.33,15.2,0,0,0,2.2,2.2,0.14,+0.8,+0.8,Matches
Dwight McNeil,340,engENG,"MF,FW",Everton,25-168,1999,14.0,4,25,10,40.0,1.78,0.71,0.16,0.40,21.9,0,0,0,1.1,1.1,0.04,+2.9,+2.9,Matches
Eberechi Eze,172,engENG,"MF,FW",Crystal Palace,26-314,1998,27.0,5,95,24,25.3,3.52,0.89,0.04,0.17,21.6,16,1,2,9.1,7.5,0.08,-4.1,-3.5,Matches
Eddie Nketiah,377,engENG,"FW,MF",Crystal Palace,25-344,1999,9.9,1,38,12,31.6,3.82,1.21,0.03,0.08,14.2,0,0,0,4.5,4.5,0.12,-3.5,-3.5,Matches
Ederson,154,brBRA,GK,Manchester City,31-265,1993,22.8,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Edmond-Paris Maghoma,318,engENG,"MF,FW",Brentford,24-001,2001,1.3,0,1,0,0.0,0.76,0.00,0.00,N/a,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Edson Álvarez,18,mxMEX,MF,West Ham,27-197,1997,18.1,0,11,1,9.1,0.61,0.06,0.00,0.00,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Eiran Cashin,89,ieIRL,DF,Brighton,23-181,2001,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Elliot Anderson,25,engENG,MF,Nott'ham Forest,22-184,2002,27.4,2,37,7,18.9,1.35,0.26,0.05,0.29,19.4,0,0,0,1.9,1.9,0.05,+0.1,+0.1,Matches
Emerson Palmieri,403,itITA,DF,West Ham,30-279,1994,23.4,2,16,7,43.8,0.68,0.30,0.13,0.29,19.0,3,0,0,2.0,2.0,0.12,0.0,0.0,Matches
Emi Buendía,72,arARG,"MF,FW",Aston Villa,28-135,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,N/a,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
Emil Krafth,290,seSWE,DF,Newcastle Utd,30-280,1994,3.2,0,1,0,0.0,0.31,0.00,0.00,N/a,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Emile Smith Rowe,474,engENG,MF,Fulham,24-285,2000,21.0,6,35,10,28.6,1.67,0.48,0.17,0.60,15.6,0,0,0,4.4,4.4,0.13,+1.6,+1.6,Matches
Emiliano Martínez,328,arARG,GK,Aston Villa,32-249,1992,33.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Emmanuel Agbadou,6,ciCIV,DF,Wolves,27-326,1997,12.7,0,6,1,16.7,0.47,0.08,0.00,0.00,31.8,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Enes Ünal,524,trTUR,"FW,MF",Bournemouth,27-364,1997,3.8,2,20,7,35.0,5.22,1.83,0.10,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
Enzo Fernández,181,arARG,MF,Chelsea,24-112,2001,29.7,6,51,19,37.3,1.71,0.64,0.12,0.32,18.2,2,0,0,6.0,6.0,0.12,0.0,0.0,Matches
Eric da Silva Moreira,468,deGER,"MF,DF",Nott'ham Forest,19-006,2006,0.3,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Erling Haaland,223,noNOR,FW,Manchester City,24-292,2000,27.6,21,99,54,54.5,3.59,1.96,0.19,0.35,12.2,1,2,3,20.8,18.4,0.19,+0.2,+0.6,Matches
Ethan Nwaneri,382,engENG,"FW,MF",Arsenal,18-049,2007,9.1,4,22,8,36.4,2.41,0.88,0.18,0.50,18.2,1,0,0,1.1,1.1,0.05,+2.9,+2.9,Matches
Ethan Pinnock,413,jmJAM,DF,Brentford,31-345,1993,21.3,2,10,6,60.0,0.47,0.28,0.20,0.33,11.1,0,0,0,1.1,1.1,0.11,+0.9,+0.9,Matches
Evan Ferguson,177,ieIRL,FW,West Ham,20-202,2004,1.7,0,5,1,20.0,2.88,0.58,0.00,0.00,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
Evanilson,169,brBRA,FW,Bournemouth,25-215,1999,22.9,10,66,29,43.9,2.89,1.27,0.15,0.34,13.0,0,0,1,11.6,10.8,0.16,-1.6,-0.8,Matches
Ezri Konsa,287,engENG,DF,Aston Villa,27-198,1997,29.6,1,9,3,33.3,0.30,0.10,0.11,0.33,9.1,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
Fabian Schär,456,chSUI,DF,Newcastle Utd,33-140,1991,29.6,4,31,10,32.3,1.05,0.34,0.13,0.40,21.2,4,0,0,2.4,2.4,0.08,+1.6,+1.6,Matches
Fabio Carvalho,85,ptPOR,"FW,MF",Brentford,22-252,2002,5.1,2,12,5,41.7,2.37,0.99,0.17,0.40,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,Matches
Facundo Buonanotte,74,arARG,"FW,MF",Leicester City,20-137,2004,16.4,4,34,10,29.4,2.08,0.61,0.12,0.40,17.8,0,0,0,3.8,3.8,0.11,+0.2,+0.2,Matches
Federico Chiesa,95,itITA,FW,Liverpool,27-196,1997,0.5,0,4,2,50.0,7.83,3.91,0.00,0.00,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Ferdi Kadioglu,271,trTUR,"DF,MF",Brighton,25-214,1999,4.3,1,4,1,25.0,0.94,0.23,0.25,1.00,15.1,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
Filip Jørgensen,270,dkDEN,GK,Chelsea,23-023,2002,6.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Flynn Downes,148,engENG,MF,Southampton,26-109,1999,20.9,1,10,3,30.0,0.48,0.14,0.10,0.33,18.7,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
Frank Onyeka,395,ngNGA,MF,Brentford,27-128,1998,0.3,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Fraser Forster,186,engENG,GK,Tottenham,37-053,1988,7.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Gabriel Jesus,258,brBRA,FW,Arsenal,28-036,1997,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,Matches
Gabriel Magalhães,317,brBRA,DF,Arsenal,27-141,1997,26.3,3,22,5,22.7,0.84,0.19,0.14,0.60,9.5,0,0,0,2.6,2.6,0.12,+0.4,+0.4,Matches
Gabriel Martinelli,327,brBRA,"FW,MF",Arsenal,23-325,2001,22.7,7,47,20,42.6,2.07,0.88,0.15,0.35,13.3,0,0,0,5.9,5.9,0.13,+1.1,+1.1,Matches
George Edmundson,155,engENG,DF,Ipswich Town,27-251,1997,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
George Hirst,239,sctSCO,FW,Ipswich Town,26-083,1999,5.5,3,10,5,50.0,1.83,0.91,0.30,0.60,11.1,0,0,0,1.6,1.6,0.16,+1.4,+1.4,Matches
Georginio Rutter,441,frFRA,"MF,FW",Brighton,23-019,2002,18.4,5,50,12,24.0,2.72,0.65,0.10,0.42,15.5,0,0,0,4.6,4.6,0.09,+0.4,+0.4,Matches
Gonçalo Guedes,215,ptPOR,"MF,FW",Wolves,28-161,1996,8.7,2,19,7,36.8,2.18,0.80,0.11,0.29,20.0,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Matches
Guglielmo Vicario,532,itITA,GK,Tottenham,28-214,1996,23.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Guido Rodríguez,437,arARG,MF,West Ham,31-027,1994,11.3,0,8,1,12.5,0.71,0.09,0.00,0.00,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Gustavo Nunes,379,brBRA,"FW,MF",Brentford,19-170,2005,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Hamza Choudhury,98,bdBAN,"MF,DF",Leicester City,27-220,1997,1.5,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Harrison Armstrong,34,engENG,MF,Everton,18-110,2007,0.5,0,1,0,0.0,1.87,0.00,0.00,N/a,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
Harrison Reed,425,engENG,MF,Fulham,30-102,1995,1.2,0,3,2,66.7,2.48,1.65,0.00,0.00,21.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Harry Amass,20,engENG,DF,Manchester Utd,18-054,2007,2.8,0,2,0,0.0,0.70,0.00,0.00,N/a,20.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Harry Clarke,100,engENG,DF,Ipswich Town,24-068,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Harry Maguire,319,engENG,DF,Manchester Utd,32-065,1993,17.1,1,12,5,41.7,0.70,0.29,0.08,0.20,7.9,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
Harry Toffolo,508,engENG,DF,Nott'ham Forest,29-263,1995,1.5,0,1,0,0.0,0.66,0.00,0.00,N/a,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Harry Wilson,554,wlsWAL,"FW,MF",Fulham,28-048,1997,11.1,5,32,11,34.4,2.87,0.99,0.16,0.45,17.3,1,0,0,3.7,3.7,0.12,+1.3,+1.3,Matches
Harry Winks,555,engENG,MF,Leicester City,29-096,1996,17.1,0,10,4,40.0,0.59,0.23,0.00,0.00,29.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Harvey Barnes,46,engENG,FW,Newcastle Utd,27-151,1997,16.7,9,55,18,32.7,3.29,1.08,0.16,0.50,15.0,0,0,0,6.6,6.6,0.12,+2.4,+2.4,Matches
Harvey Elliott,161,engENG,"MF,FW",Liverpool,22-035,2003,3.0,0,13,2,15.4,4.38,0.67,0.00,0.00,18.0,1,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Hwang Hee-chan,232,krKOR,"MF,FW",Wolves,29-103,1996,7.2,2,5,3,60.0,0.69,0.41,0.40,0.67,17.4,0,0,0,0.8,0.8,0.16,+1.2,+1.2,Matches
Hákon Rafn Valdimarsson,419,isISL,GK,Brentford,23-208,2001,1.6,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ian Maatsen,313,nlNED,DF,Aston Villa,23-060,2002,10.6,1,17,5,29.4,1.60,0.47,0.06,0.20,22.3,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
Ibrahim Sangaré,448,ciCIV,MF,Nott'ham Forest,27-158,1997,4.1,0,1,1,100.0,0.24,0.24,0.00,0.00,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Ibrahima Konaté,286,frFRA,DF,Liverpool,25-349,1999,25.8,1,18,3,16.7,0.70,0.12,0.06,0.33,10.5,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
Idrissa Gana Gueye,192,snSEN,MF,Everton,35-225,1989,31.0,0,27,5,18.5,0.87,0.16,0.00,0.00,25.2,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches
Igor,246,brBRA,DF,Brighton,27-091,1998,10.0,0,1,0,0.0,0.10,0.00,0.00,N/a,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Iliman Ndiaye,370,snSEN,FW,Everton,25-064,2000,25.0,7,32,13,40.6,1.28,0.52,0.16,0.38,17.4,0,2,2,5.2,3.6,0.11,+1.8,+1.4,Matches
Illia Zabarnyi,565,uaUKR,DF,Bournemouth,22-250,2002,31.6,0,10,0,0.0,0.32,0.00,0.00,N/a,9.8,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
Ismaila Sarr,451,snSEN,"MF,FW",Crystal Palace,27-073,1998,27.6,7,50,25,50.0,1.81,0.91,0.14,0.28,13.2,0,0,0,9.1,9.1,0.19,-2.1,-2.1,Matches
Issa Diop,136,frFRA,DF,Fulham,28-120,1997,14.9,0,5,2,40.0,0.34,0.13,0.00,0.00,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Jack Clarke,101,engENG,"FW,MF",Ipswich Town,24-167,2000,11.7,0,14,2,14.3,1.19,0.17,0.00,0.00,19.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
Jack Grealish,211,engENG,"FW,MF",Manchester City,29-241,1995,8.0,1,15,5,33.3,1.87,0.62,0.07,0.20,16.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Jack Harrison,227,engENG,FW,Everton,28-170,1996,21.1,1,27,6,22.2,1.28,0.28,0.04,0.17,16.3,0,0,0,3.3,3.3,0.12,-2.3,-2.3,Matches
Jack Hinshelwood,238,engENG,"DF,MF",Brighton,20-028,2005,19.4,2,14,6,42.9,0.72,0.31,0.14,0.33,14.3,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches
Jack Stephens,484,engENG,DF,Southampton,31-102,1994,13.4,1,4,2,50.0,0.30,0.15,0.25,0.50,11.0,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches
Jack Taylor,499,ieIRL,MF,Ipswich Town,26-320,1998,8.5,1,17,4,23.5,2.00,0.47,0.06,0.25,23.0,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
Jacob Greaves,212,engENG,DF,Ipswich Town,24-239,2000,21.5,1,8,4,50.0,0.37,0.19,0.13,0.25,8.3,0,0,0,1.2,1.2,0.16,-0.2,-0.2,Matches
Jacob Murphy,368,engENG,FW,Newcastle Utd,30-074,1995,23.8,8,42,15,35.7,1.77,0.63,0.19,0.53,18.2,0,0,0,5.7,5.7,0.14,+2.3,+2.3,Matches
Jacob Ramsey,421,engENG,"FW,MF",Aston Villa,23-346,2001,16.8,1,18,4,22.2,1.07,0.24,0.06,0.25,16.7,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
Jaden Philogene Bidace,410,engENG,"FW,MF",Aston Villa,23-090,2002,3.7,0,7,0,0.0,1.90,0.00,0.00,N/a,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Jadon Sancho,447,engENG,FW,Chelsea,25-045,2000,18.7,3,24,8,33.3,1.28,0.43,0.13,0.38,15.1,0,0,0,2.2,2.2,0.09,+0.8,+0.8,Matches
Jahmai Simpson-Pusey,469,engENG,DF,Manchester City,19-186,2005,1.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jake Evans,170,N/a,FW,Leicester City,N/a,N/a,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jake O'Brien,384,ieIRL,DF,Everton,23-359,2001,15.5,2,5,3,60.0,0.32,0.19,0.40,0.67,11.5,0,0,0,0.7,0.7,0.14,+1.3,+1.3,Matches
Jakub Kiwior,284,plPOL,DF,Arsenal,25-083,2000,9.5,1,3,1,33.3,0.32,0.11,0.33,1.00,18.5,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
Jakub Moder,353,plPOL,MF,Brighton,26-032,1999,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jakub Stolarczyk,487,plPOL,GK,Leicester City,24-141,2000,7.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
James Bree,67,engENG,DF,Southampton,27-210,1997,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
James Garner,195,engENG,"MF,DF",Everton,24-057,2001,14.7,0,7,2,28.6,0.48,0.14,0.00,0.00,24.1,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
James Hill,237,engENG,DF,Bournemouth,23-119,2002,5.0,0,6,0,0.0,1.21,0.00,0.00,N/a,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
James Justin,269,engENG,DF,Leicester City,27-075,1998,29.7,2,24,6,25.0,0.81,0.20,0.08,0.33,16.0,2,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
James Maddison,315,engENG,MF,Tottenham,28-167,1996,20.1,9,39,17,43.6,1.94,0.85,0.23,0.53,16.7,6,0,0,5.8,5.8,0.15,+3.2,+3.2,Matches
James Mcatee,336,engENG,"MF,FW",Manchester City,22-203,2002,3.4,3,12,4,33.3,3.55,1.18,0.25,0.75,14.3,0,0,0,2.8,2.8,0.23,+0.2,+0.2,Matches
James Milner,348,engENG,MF,Brighton,39-125,1986,1.9,0,2,0,0.0,1.07,0.00,0.00,N/a,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
James Tarkowski,496,engENG,DF,Everton,32-171,1992,32.5,1,15,4,26.7,0.46,0.12,0.07,0.25,8.4,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
James Ward-Prowse,540,engENG,MF,West Ham,30-189,1994,9.0,0,9,2,22.2,1.00,0.22,0.00,0.00,21.9,3,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Jamie Vardy,526,engENG,FW,Leicester City,38-118,1987,29.5,8,52,22,42.3,1.76,0.75,0.13,0.32,12.4,1,1,2,10.7,9.1,0.18,-2.7,-2.1,Matches
Jan Bednarek,49,plPOL,DF,Southampton,29-027,1996,27.1,2,5,2,40.0,0.18,0.07,0.40,1.00,16.0,0,0,0,0.7,0.7,0.13,+1.3,+1.3,Matches
Jan Paul van Hecke,231,nlNED,DF,Brighton,24-335,2000,29.9,1,16,5,31.3,0.54,0.17,0.06,0.20,14.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Jannik Vestergaard,531,dkDEN,DF,Leicester City,32-279,1992,15.5,0,3,2,66.7,0.19,0.13,0.00,0.00,9.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Jarell Quansah,418,engENG,DF,Liverpool,22-100,2003,4.5,0,1,0,0.0,0.22,0.00,0.00,N/a,8.9,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Jarrad Branthwaite,66,engENG,DF,Everton,22-316,2002,26.1,0,8,3,37.5,0.31,0.11,0.00,0.00,8.2,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
Jarrod Bowen,64,engENG,"FW,MF",West Ham,28-140,1996,30.2,10,78,32,41.0,2.58,1.06,0.12,0.28,17.4,1,1,1,8.0,7.3,0.09,+2.0,+1.7,Matches
Jason Steele,483,engENG,GK,Brighton,34-264,1990,2.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jay Robinson,435,engENG,"MF,FW",Southampton,18-055,2007,0.4,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jay Stansfield,482,engENG,MF,Fulham,22-166,2002,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jayden Danns,120,engENG,MF,Liverpool,19-113,2006,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jayden Meghoma,343,engENG,DF,Brentford,18-315,2006,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jean-Clair Todibo,507,frFRA,DF,West Ham,25-130,1999,17.4,0,4,0,0.0,0.23,0.00,0.00,N/a,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Jean-Philippe Mateta,331,frFRA,FW,Crystal Palace,27-315,1997,28.0,14,61,25,41.0,2.18,0.89,0.20,0.48,15.7,0,2,2,12.1,10.6,0.17,+1.9,+1.4,Matches
Jean-Ricner Bellegarde,51,frFRA,"MF,FW",Wolves,26-316,1998,17.2,2,20,5,25.0,1.16,0.29,0.10,0.40,21.7,2,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches
Jefferson Lerma,300,coCOL,"MF,DF",Crystal Palace,30-196,1994,22.6,0,24,7,29.2,1.06,0.31,0.00,0.00,19.4,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
Jeffrey Schlupp,457,ghGHA,"MF,DF",Crystal Palace,32-137,1992,1.1,0,4,2,50.0,3.50,1.75,0.00,0.00,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Jens Cajuste,81,seSWE,MF,Ipswich Town,25-272,1999,19.8,1,10,1,10.0,0.50,0.05,0.10,1.00,21.3,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Jeremy Doku,142,beBEL,"FW,MF",Manchester City,22-347,2002,15.5,3,24,9,37.5,1.55,0.58,0.13,0.33,18.2,0,0,0,1.0,1.0,0.04,+2.0,+2.0,Matches
Jeremy Monga,354,N/a,"FW,MF",Leicester City,N/a,N/a,0.6,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jeremy Sarmiento,450,ecECU,MF,Brighton,22-327,2002,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jesper Lindstrøm,307,dkDEN,FW,Everton,25-069,2000,13.8,0,28,10,35.7,2.03,0.73,0.00,0.00,21.0,6,0,0,2.1,2.1,0.08,-2.1,-2.1,Matches
Joachim Andersen,23,dkDEN,DF,Crystal Palace,28-343,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Joe Aribo,32,ngNGA,"MF,DF",Southampton,28-292,1996,21.2,3,17,7,41.2,0.80,0.33,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,+0.3,+0.3,Matches
Joe Gomez,206,engENG,DF,Liverpool,27-351,1997,5.8,0,3,2,66.7,0.52,0.35,0.00,0.00,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Joe Lumley,311,engENG,GK,Southampton,30-083,1995,3.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Joe Willock,552,engENG,"MF,FW",Newcastle Utd,25-262,1999,11.4,0,17,3,17.6,1.49,0.26,0.00,0.00,15.4,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Matches
Joel Ward,539,engENG,DF,Crystal Palace,35-192,1989,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Joelinton,262,brBRA,"MF,FW",Newcastle Utd,28-268,1996,26.6,4,45,13,28.9,1.69,0.49,0.09,0.31,14.0,0,0,0,3.9,3.9,0.09,+0.1,+0.1,Matches
John McGinn,339,sctSCO,"MF,FW",Aston Villa,30-203,1994,22.8,1,26,5,19.2,1.14,0.22,0.04,0.20,16.2,1,0,0,2.9,2.6,0.10,-1.9,-1.6,Matches
John Stones,488,engENG,"DF,MF",Manchester City,30-346,1994,6.1,2,2,2,100.0,0.33,0.33,1.00,1.00,5.1,0,0,0,0.4,0.4,0.22,+1.6,+1.6,Matches
Jonny Evans,171,nirNIR,DF,Manchester Utd,37-126,1988,3.2,0,1,0,0.0,0.31,0.00,0.00,N/a,8.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Jordan Ayew,40,ghGHA,"FW,MF",Crystal Palace,33-240,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,N/a,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches
Jordan Pickford,412,engENG,GK,Everton,31-063,1994,35.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jorge Cuenca,114,esESP,DF,Fulham,25-173,1999,2.9,0,1,0,0.0,0.35,0.00,0.00,N/a,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jorginho,267,itITA,MF,Arsenal,33-140,1991,7.8,0,2,0,0.0,0.26,0.00,0.00,N/a,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Joshua Acheampong,2,engENG,DF,Chelsea,19-004,2006,1.9,0,2,0,0.0,1.06,0.00,0.00,N/a,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Joshua King,282,engENG,"MF,FW",Fulham,18-126,2007,0.9,0,1,0,0.0,1.13,0.00,0.00,N/a,5.3,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
Joshua Zirkzee,567,nlNED,"FW,MF",Manchester Utd,23-352,2001,15.6,3,28,11,39.3,1.80,0.71,0.11,0.27,13.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8,Matches
José Sá,442,ptPOR,GK,Wolves,32-112,1993,27.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jota Silva,467,ptPOR,"FW,MF",Nott'ham Forest,25-281,1999,9.4,3,22,7,31.8,2.35,0.75,0.14,0.43,14.5,0,0,0,2.0,2.0,0.09,+1.0,+1.0,Matches
João Félix,176,ptPOR,"FW,MF",Chelsea,25-180,1999,4.1,1,20,5,25.0,4.88,1.22,0.05,0.20,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
